Ssiderea046003	factor 19
Ssiderea011242	biological adhesion
Ssiderea017239	transcription regulator activity
Ssiderea049205	structural constituent of nuclear pore
Ssiderea045915	4 iron, 4 sulfur cluster binding
Ssiderea012146	Ubiquitin-like modifier
Ssiderea030235	melanocortin receptor activity
Ssiderea001181	cell division
Ssiderea010376	homogentisate 1,2-dioxygenase activity
Ssiderea009977	regulation of resting membrane potential
Ssiderea046658	DNA replication initiation
Ssiderea040289	COP9 signalosome assembly
Ssiderea022487	-
Ssiderea011604	carbohydrate binding
Ssiderea60899	Belongs to the helicase family
Ssiderea002853	beta-galactosidase activity
Ssiderea054717	DENN MADD domain containing 1A
Ssiderea015681	Cytochrome P450, family 46, subfamily A, polypeptide
Ssiderea010125	hyaluronic acid binding
Ssiderea038511	NEDD8 activating enzyme activity
Ssiderea029304	third ventricle development
Ssiderea035448	Belongs to the PI3 PI4-kinase family
Ssiderea044930	bactericidal permeability-increasing protein
Ssiderea018359	Sidekick cell adhesion molecule
Ssiderea046777	Argininosuccinate
Ssiderea039778	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Ssiderea011462	arachidonate 5-lipoxygenase activity
Ssiderea052515	G-quadruplex DNA unwinding
Ssiderea62202	Protein of unknown function (DUF640)
Ssiderea032248	steroid hormone receptor activity
Ssiderea004560	E3 ubiquitin-protein ligase TRAF7
Ssiderea012864	serine threonine kinase receptor associated protein
Ssiderea032507	protein kinase activity
Ssiderea003434	Histone H3
Ssiderea056509	This enzyme scavenges exogenous and endogenous cytidine and 2'-deoxycytidine for UMP synthesis
Ssiderea051900	Regulatory protein
Ssiderea006812	ADP-ribosylglycohydrolase
Ssiderea041275	Common central domain of tyrosinase
Ssiderea054060	G-protein coupled receptor activity
Ssiderea025725	cell adhesion
Ssiderea008564	coagulation factor V
Ssiderea037371	-
Ssiderea046683	sulfuric ester hydrolase activity
Ssiderea053555	Common central domain of tyrosinase
Ssiderea046583	forkhead box
Ssiderea040179	Coagulation factor V
Ssiderea020971	BLOC-2 complex binding
Ssiderea049677	G-quadruplex DNA unwinding
Ssiderea043973	RNA binding
Ssiderea015903	Golgi vesicle prefusion complex stabilization
Ssiderea055344	Sclerostin (SOST)
Ssiderea009599	G-protein coupled receptor activity
Ssiderea040635	Golgin subfamily A member
Ssiderea59694	endothelial cell proliferation
Ssiderea025076	Ribosomal protein L4
Ssiderea019525	Metallopeptidase family M24
Ssiderea047267	NACHT, LRR and PYD domains-containing protein
Ssiderea046426	fibroblast growth factor-activated receptor activity
Ssiderea053868	galactosyltransferase activity
Ssiderea003360	SAM dependent carboxyl methyltransferase
Ssiderea042436	Glycine dehydrogenase (decarboxylating)
Ssiderea051446	poly(ADP-ribose) glycohydrolase activity
Ssiderea027359	Cofilin/tropomyosin-type actin-binding protein
Ssiderea012173	Methyltransferase domain
Ssiderea023727	protein-hormone receptor activity
Ssiderea015199	DNA repair and recombination protein RAD54B
Ssiderea022230	histone pre-mRNA stem-loop binding
Ssiderea016540	guanylate cyclase activity
Ssiderea044110	-
Ssiderea046563	Leucine rich repeat N-terminal domain
Ssiderea035104	Glycosyltransferase family 92
Ssiderea029373	protein serine/threonine kinase activity
Ssiderea037930	protein kinase activity
Ssiderea004421	acyl-coenzyme A thioesterase
Ssiderea053541	polycystic kidney disease protein 1-like
Ssiderea025943	negative regulation of axon extension involved in regeneration
Ssiderea050021	detection of mechanical stimulus involved in sensory perception of sound
Ssiderea019344	actin filament network formation
Ssiderea037368	Vacuolar protein sorting-associated protein 62
Ssiderea040612	complement activation
Ssiderea022469	phosphatidylinositol binding
Ssiderea004661	biological adhesion
Ssiderea002967	Ig-like domain on T-cell surface glycoprotein CD3 epsilon chain
Ssiderea60363	G-protein coupled receptor activity
Ssiderea019866	Lipoxygenase homology
Ssiderea025138	Epidermal growth factor-like domain.
Ssiderea004330	G-quadruplex DNA unwinding
Ssiderea021276	NFX1-type zinc finger-containing protein
Ssiderea057197	inositol-1,3,4-trisphosphate 6-kinase activity
Ssiderea049555	inner dynein arm assembly
Ssiderea007967	pantetheine-phosphate adenylyltransferase activity
Ssiderea055235	glucuronosyltransferase activity
Ssiderea038290	Histamine N-methyltransferase
Ssiderea000202	mitochondrial respiratory chain complex IV assembly
Ssiderea038821	carbohydrate binding
Ssiderea60262	GAG-pre-integrase domain
Ssiderea026831	calcium ion binding
Ssiderea050433	F-box LRR-repeat protein
Ssiderea010494	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea59219	G-quadruplex DNA unwinding
Ssiderea052911	Catalytic subunit of the queuine tRNA-ribosyltransferase (TGT) that catalyzes the base-exchange of a guanine (G) residue with queuine (Q) at position 34 (anticodon wobble position) in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr), resulting in the hypermodified nucleoside queuosine (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine). Catalysis occurs through a double-displacement mechanism. The nucleophile active site attacks the C1' of nucleotide 34 to detach the guanine base from the RNA, forming a covalent enzyme-RNA intermediate. The proton acceptor active site deprotonates the incoming queuine, allowing a nucleophilic attack on the C1' of the ribose to form the product
Ssiderea017618	Nucleolar and coiled-body phosphoprotein
Ssiderea050984	Casein Kinase 2 substrate
Ssiderea012740	Immunoglobulin domain
Ssiderea006808	lysosomal lumen pH elevation
Ssiderea61786	K02A2.6-like
Ssiderea033058	coiled-coil domain containing 57
Ssiderea022061	serine-type endopeptidase activity
Ssiderea046812	ATP-dependent RNA helicase
Ssiderea004779	Sulfatase-modifying factor enzyme 1
Ssiderea010554	complement activation, lectin pathway
Ssiderea006424	DNA Replication
Ssiderea010532	glutathione dehydrogenase (ascorbate) activity
Ssiderea016281	-
Ssiderea004645	7 transmembrane receptor (rhodopsin family)
Ssiderea042058	Protein of unknown function (DUF3736)
Ssiderea040615	tRNA (adenine-N1-)-methyltransferase activity
Ssiderea021892	Transformed 3T3 cell double minute 2 homolog (mouse)
Ssiderea014338	peptidyl-glycine alpha-amidating monooxygenase
Ssiderea022139	alpha-(1->3)-fucosyltransferase activity
Ssiderea033955	G-protein coupled receptor activity
Ssiderea006203	FAD dependent oxidoreductase
Ssiderea016416	7 transmembrane receptor (rhodopsin family)
Ssiderea006977	Translocon-associated protein, delta subunit precursor (TRAP-delta)
Ssiderea053365	Common central domain of tyrosinase
Ssiderea015259	metal ion binding
Ssiderea052210	laminin subunit
Ssiderea054709	Peptidyl-tRNA hydrolase
Ssiderea033313	DDB1 and CUL4 associated factor 12
Ssiderea009314	polycystic kidney disease protein 1-like
Ssiderea053049	adherens junction organization
Ssiderea002204	ubiE/COQ5 methyltransferase family
Ssiderea011303	identical protein binding
Ssiderea032631	tachykinin receptor activity
Ssiderea056009	heme binding
Ssiderea055228	glucuronosyltransferase activity
Ssiderea014256	A disintegrin and metalloproteinase with thrombospondin motifs
Ssiderea026472	MAC/Perforin domain
Ssiderea006542	serine-type endopeptidase inhibitor activity
Ssiderea046613	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
Ssiderea006894	Excises uracil residues from the DNA which can arise as a result of misincorporation of dUMP residues by DNA polymerase or due to deamination of cytosine
Ssiderea047136	C-terminal of Roc, COR, domain
Ssiderea013071	diphosphoinositol-pentakisphosphate kinase activity
Ssiderea016470	7 transmembrane receptor (rhodopsin family)
Ssiderea032934	negative regulation of transcription by RNA polymerase II
Ssiderea021262	NFX1-type zinc finger-containing protein
Ssiderea004322	TMEM151 family
Ssiderea59295	Ribonuclease H protein
Ssiderea002259	Alpha-L-fucosidase
Ssiderea057985	Calcium-binding protein
Ssiderea009590	pyramidal neuron migration
Ssiderea050186	G-protein coupled receptor activity
Ssiderea035482	regulation of ferroptosis
Ssiderea003317	tachykinin receptor activity
Ssiderea034090	DNA-binding transcription factor activity
Ssiderea029952	Belongs to the histone H2B family
Ssiderea054388	zinc ion binding
Ssiderea011596	G-protein coupled receptor activity
Ssiderea001507	double-stranded RNA adenosine deaminase activity
Ssiderea018653	7 transmembrane receptor (rhodopsin family)
Ssiderea020082	von Willebrand factor (vWF) type A domain
Ssiderea053159	epimerase-like
Ssiderea028563	Common central domain of tyrosinase
Ssiderea000977	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea024925	phospholipase activity
Ssiderea018990	protein heterodimerization activity
Ssiderea011646	Scavenger receptor Cys-rich
Ssiderea056316	fibroblast growth factor-activated receptor activity
Ssiderea026618	regulation of skeletal muscle fiber development
Ssiderea053493	Common central domain of tyrosinase
Ssiderea006158	protein-O-mannose kinase
Ssiderea050656	Sidekick cell adhesion molecule
Ssiderea046497	G-protein coupled receptor activity
Ssiderea030475	coagulation factor V
Ssiderea052003	regulation of endocannabinoid signaling pathway
Ssiderea003562	Tolloid-like protein 2
Ssiderea046618	Nucleoside diphosphate kinase
Ssiderea019623	keratan sulfotransferase activity
Ssiderea037473	H3K27me3 modified histone binding
Ssiderea032394	G-protein coupled receptor activity
Ssiderea052446	POU class 1 homeobox 1
Ssiderea050467	store-operated calcium channel activity
Ssiderea046617	Homocysteine S-methyltransferase
Ssiderea053323	neurogenic locus notch homolog protein
Ssiderea058238	transmembrane receptor protein serine/threonine kinase activity
Ssiderea051683	G-protein coupled receptor activity
Ssiderea002297	glutamate homeostasis
Ssiderea055669	Von Hippel-Lindau disease tumor
Ssiderea025757	Integrin alpha-X
Ssiderea005824	DNA replication-independent nucleosome assembly
Ssiderea006109	GTPase that associates with pre-60S ribosomal subunits in the nucleolus and is required for their nuclear export and maturation
Ssiderea051565	chondroitin 4-sulfotransferase activity
Ssiderea024246	Fibrinogen-related domains (FReDs)
Ssiderea004441	acetylcholine-gated cation-selective channel activity
Ssiderea005062	biological adhesion
Ssiderea60697	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea014765	Vitamin K epoxide reductase complex, subunit
Ssiderea054345	Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in the mitochondria. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu- tRNA(Gln)
Ssiderea050872	Domain of unknown function (DUF4476)
Ssiderea048575	Protein tyrosine kinase
Ssiderea045927	Chromosome 17 open reading frame 85
Ssiderea048090	negative regulation of meiotic chromosome separation
Ssiderea046298	Src homology 2 domains
Ssiderea044199	RNA-binding protein Luc7-like
Ssiderea047703	interleukin-8 biosynthetic process
Ssiderea005787	acyl-CoA thioesterase 13
Ssiderea030272	BRCA1 associated protein
Ssiderea023904	UDP-glucoronosyl and UDP-glucosyl transferase
Ssiderea014194	Si ch211-37e10.1
Ssiderea049909	Replication factor c
Ssiderea031631	sequence-specific DNA binding
Ssiderea029269	galanin-activated signaling pathway
Ssiderea012153	potassium voltage-gated channel
Ssiderea046462	positive regulation of Rho guanyl-nucleotide exchange factor activity
Ssiderea015301	podosome assembly
Ssiderea038850	cyclin-dependent kinase 10
Ssiderea051933	coagulation factor
Ssiderea033470	sodium-dependent L-ascorbate transmembrane transporter activity
Ssiderea027220	Fes/CIP4 homology domain
Ssiderea051442	Small nuclear ribonucleoprotein
Ssiderea020108	cell surface pattern recognition receptor signaling pathway
Ssiderea013842	Tnf receptor-associated factor 2
Ssiderea053749	neurotransmitter receptor localization to postsynaptic specialization membrane
Ssiderea010958	Domain of unknown function (DUF4061)
Ssiderea008761	rRNA-processing protein Efg1
Ssiderea021880	Cyclin_C
Ssiderea008645	Common central domain of tyrosinase
Ssiderea050112	Smoothelin-like protein 1
Ssiderea000016	Belongs to the G-protein coupled receptor 1 family
Ssiderea045296	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea045271	Required for the first step in the synthesis of diphthamide, a post-translational modification of histidine which occurs in translation elongation factor 2
Ssiderea015377	ER-associated misfolded protein catabolic process
Ssiderea024554	phytanoyl-CoA dioxygenase activity
Ssiderea023905	UDP-glucoronosyl and UDP-glucosyl transferase
Ssiderea042543	EP4 subtype prostaglandin E2 receptor binding
Ssiderea005860	positive regulation of pinocytosis
Ssiderea012318	positive regulation of DNA N-glycosylase activity
Ssiderea051312	negative regulation of cell proliferation involved in heart valve morphogenesis
Ssiderea027536	negative regulation of DNA damage checkpoint
Ssiderea054267	protein KIAA1614 homolog
Ssiderea024829	Aldo/keto reductase family
Ssiderea014801	Isocitrate lyase family
Ssiderea006215	thick ascending limb development
Ssiderea021033	ubiquitin conjugating enzyme binding
Ssiderea049383	-
Ssiderea000824	C2 domain-containing protein
Ssiderea61497	transposition, RNA-mediated
Ssiderea033861	inner cell mass cell proliferation
Ssiderea055687	G-protein coupled receptor activity
Ssiderea034845	interleukin-8 biosynthetic process
Ssiderea014920	chondrocyte morphogenesis
Ssiderea59703	Extracellular calcium-sensing receptor-like
Ssiderea024110	collagen
Ssiderea014304	lipoprotein receptor-related protein
Ssiderea045769	neuroligin family protein binding
Ssiderea017120	(R)-2-hydroxyglutarate dehydrogenase activity
Ssiderea053649	importin
Ssiderea042350	Fukutin isoform
Ssiderea041428	atlastin GTPase
Ssiderea051907	chromatin remodeling
Ssiderea027227	regulation of mitotic cell cycle
Ssiderea011223	cationic amino acid transporter
Ssiderea045284	It is involved in the biological process described with signal transduction
Ssiderea043503	microtubule motor activity. It is involved in the biological process described with microtubule-based movement
Ssiderea038397	Golgi to plasma membrane transport
Ssiderea021703	G-protein coupled receptor activity
Ssiderea038111	Belongs to the cullin family
Ssiderea052807	medium-chain-acyl-CoA dehydrogenase activity
Ssiderea051138	RNA secondary structure unwinding
Ssiderea004098	syntaxin 8
Ssiderea024570	protein-glutamine gamma-glutamyltransferase activity
Ssiderea001165	Hemicentin 2
Ssiderea002333	histone H3-K27 demethylation
Ssiderea009422	positive regulation of cyclin-dependent protein serine/threonine kinase activity
Ssiderea007145	dynein intermediate chain binding
Ssiderea006845	Glutaredoxin
Ssiderea027748	elastic fiber assembly
Ssiderea035291	Methylmalonic aciduria (Cobalamin deficiency) cblC type, with homocystinuria
Ssiderea052148	myotome development
Ssiderea011682	sympathetic neuron projection guidance
Ssiderea021817	-
Ssiderea007717	N-acetylphosphatidylethanolamine-hydrolysing phospholipas activity
Ssiderea041770	G-protein coupled receptor activity
Ssiderea053601	proteasomal ubiquitin-independent protein catabolic process
Ssiderea052390	structural constituent of cuticle
Ssiderea038777	Enoyl-CoA hydratase/isomerase
Ssiderea031622	Four-disulfide core domains
Ssiderea053286	negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation
Ssiderea018700	fibroblast growth factor-activated receptor activity
Ssiderea031958	POU domain, class 3, transcription factor
Ssiderea048477	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Ssiderea024177	regulation of protein monoubiquitination
Ssiderea008791	Low-density lipoprotein receptor domain class A
Ssiderea046300	nuclear inner membrane organization
Ssiderea006352	asparagine catabolic process via L-aspartate
Ssiderea038737	transmembrane receptor protein tyrosine kinase signaling pathway
Ssiderea002709	cytoskeletal protein binding
Ssiderea047800	thyroid hormone transmembrane transporter activity
Ssiderea012271	3-hydroxy-2-methylbutyryl-CoA dehydrogenase activity
Ssiderea016691	Associates with the EF-Tu.GDP complex and induces the exchange of GDP to GTP. It remains bound to the aminoacyl-tRNA.EF- Tu.GTP complex up to the GTP hydrolysis stage on the ribosome
Ssiderea005421	GTP binding
Ssiderea033498	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
Ssiderea039599	nuclear protein 1
Ssiderea015228	BPTI/Kunitz family of serine protease inhibitors.
Ssiderea054890	aryl sulfotransferase activity
Ssiderea045611	NADP-retinol dehydrogenase activity
Ssiderea008908	co-translational protein modification
Ssiderea012278	Belongs to the G-protein coupled receptor 2 family
Ssiderea002791	Belongs to the cation transport ATPase (P-type) (TC 3.A.3) family. Type IV subfamily
Ssiderea028757	double-stranded DNA 5'-3' exodeoxyribonuclease activity
Ssiderea003925	RNA polymerase I general transcription initiation factor activity
Ssiderea041522	Endonuclease/Exonuclease/phosphatase family
Ssiderea018098	calcium ion binding
Ssiderea033245	structural constituent of ribosome
Ssiderea054410	serine-type endopeptidase activity
Ssiderea019464	regulation of SNARE complex assembly
Ssiderea057423	Plexin domain containing 2
Ssiderea023819	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Ssiderea62522	Zinc finger MYM-type protein 4-like
Ssiderea62250	tumor necrosis factor
Ssiderea057884	effector protein 1
Ssiderea011210	Interferon-induced very large GTPase
Ssiderea005005	regulation of mitotic cell cycle
Ssiderea004602	ATPase activity, coupled to transmembrane movement of substances
Ssiderea013220	Common central domain of tyrosinase
Ssiderea032951	Failed axon connections homolog
Ssiderea054937	metalloendopeptidase activity
Ssiderea047529	Pericentriolar material 1
Ssiderea039759	negative regulation of mucus secretion
Ssiderea046829	positive regulation of proteasomal protein catabolic process
Ssiderea045395	tachykinin receptor activity
Ssiderea029118	5'-3' exonuclease activity
Ssiderea033258	cyclin A-associated protein in the
Ssiderea014848	transmembrane emp24
Ssiderea046370	7 transmembrane receptor (Secretin family)
Ssiderea008257	Integrin alpha FG-GAP repeat containing 2
Ssiderea029545	heme binding
Ssiderea035630	G-protein coupled receptor activity
Ssiderea046191	Domain of unknown function (DUF384)
Ssiderea007929	Spc24 subunit of Ndc80
Ssiderea008731	oxidation-reduction process
Ssiderea034471	lysosomal lumen pH elevation
Ssiderea039070	signaling receptor binding
Ssiderea014529	GMC oxidoreductase
Ssiderea048077	polycystic kidney disease protein 1-like
Ssiderea000021	G-protein coupled receptor activity
Ssiderea007259	Sidekick cell adhesion molecule
Ssiderea057193	Belongs to the neuropilin family
Ssiderea033192	lysosomal protein catabolic process
Ssiderea034412	Pyridoxal-phosphate dependent enzyme
Ssiderea006680	Aerolysin toxin
Ssiderea024186	Scm-like with four mbt domains
Ssiderea59315	3'-flap-structured DNA binding
Ssiderea030177	zinc ion binding
Ssiderea015234	calcium-transporting ATPase activity
Ssiderea034388	-
Ssiderea052051	7 transmembrane receptor (rhodopsin family)
Ssiderea001519	EamA-like transporter family
Ssiderea042371	Sidekick cell adhesion molecule
Ssiderea052684	cellular response to bleomycin
Ssiderea037729	quinone binding
Ssiderea039211	Serpentine type 7TM GPCR chemoreceptor Srw
Ssiderea024516	7 transmembrane receptor (rhodopsin family)
Ssiderea029404	plasma membrane repair
Ssiderea015873	negative chemotaxis
Ssiderea018919	Extracellular domain of unknown function in nidogen (entactin) and hypothetical proteins.
Ssiderea016929	Coagulation factor 5/8 C-terminal domain, discoidin domain
Ssiderea001955	Maelstrom spermatogenic transposon silencer
Ssiderea017777	G-protein coupled receptor activity
Ssiderea046106	Death effector domain
Ssiderea026287	regulation of cyclin-dependent protein serine/threonine kinase activity
Ssiderea040867	Protein tyrosine kinase
Ssiderea021578	protein-cysteine S-acyltransferase activity
Ssiderea052346	Cadherin-like and PC-esterase
Ssiderea005551	interleukin-8 biosynthetic process
Ssiderea001881	Glycosyltransferase family 92
Ssiderea016101	tachykinin receptor activity
Ssiderea011262	-
Ssiderea031319	Asparaginase-domain-containing protein
Ssiderea003430	protein heterodimerization activity
Ssiderea039684	C-terminal region of aryl-sulfatase
Ssiderea057536	Vesicle-fusing ATPase
Ssiderea054877	thymidine kinase activity
Ssiderea042403	RNA binding
Ssiderea028369	thyroid hormone transmembrane transporter activity
Ssiderea045859	ATPase activity, coupled to transmembrane movement of substances
Ssiderea020357	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea037339	Astacin (Peptidase family M12A)
Ssiderea025986	negative regulation of epithelial cell proliferation
Ssiderea016673	actin filament network formation
Ssiderea035340	N-glycan processing
Ssiderea002358	cytoskeletal protein binding
Ssiderea025696	Sidekick cell adhesion molecule 1
Ssiderea018048	uroporphyrinogen decarboxylase activity
Ssiderea048992	Lyase, catalytic
Ssiderea009272	cerebellar granule cell precursor tangential migration
Ssiderea59423	Cannabinoid receptor 2
Ssiderea038351	succinate-hydroxymethylglutarate CoA-transferase activity
Ssiderea007922	photoreceptor activity
Ssiderea052389	chondrocyte morphogenesis
Ssiderea026598	peptidase inhibitor activity
Ssiderea59441	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea018280	endosome to melanosome transport
Ssiderea012926	acid phosphatase activity
Ssiderea054463	PX domain
Ssiderea006267	peroxidase activity
Ssiderea028426	Thyroglobulin
Ssiderea040302	ubiquitin protein ligase binding
Ssiderea014677	protein modification by small protein conjugation
Ssiderea015865	N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity
Ssiderea017392	cotranslational protein targeting to membrane
Ssiderea005023	Transient receptor potential cation channel, subfamily A, member
Ssiderea027544	regulation of transcription by RNA polymerase II
Ssiderea026464	short-term synaptic potentiation
Ssiderea039240	G-protein coupled receptor activity
Ssiderea010371	integrin binding
Ssiderea045356	-
Ssiderea012801	ATP synthesis coupled proton transport
Ssiderea056512	Nucleoporin
Ssiderea048055	polycystic kidney disease protein 1-like
Ssiderea018629	cation channel activity
Ssiderea007931	transcription elongation from RNA polymerase I promoter
Ssiderea053135	collagen
Ssiderea055582	ATP-dependent peptidase activity
Ssiderea039623	HELP motif
Ssiderea002250	regulation of protein catabolic process
Ssiderea001686	doublecortin domain-containing protein
Ssiderea032914	Protein disulfide isomerase family A, member 3
Ssiderea055000	monocarboxylate transporter
Ssiderea041964	positive regulation of epithelial to mesenchymal transition
Ssiderea007332	Sulfotransferase family
Ssiderea028349	polycystic kidney disease protein 1-like
Ssiderea013619	arachidonic acid secretion
Ssiderea004784	photoreceptor activity
Ssiderea020651	Stabilin-1
Ssiderea034379	zinc ion binding
Ssiderea039681	BCCT, betaine/carnitine/choline family transporter
Ssiderea62349	Inhibitor of growth protein
Ssiderea045251	ATP-dependent RNA helicase
Ssiderea023653	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea020670	Domain of unknown function (DUF3504)
Ssiderea020637	positive regulation of synapse structural plasticity
Ssiderea026299	Armadillo repeat-containing protein
Ssiderea021212	cysteine-type endopeptidase activity
Ssiderea000994	-
Ssiderea016895	G-protein coupled receptor activity
Ssiderea024158	cellular response to cell-matrix adhesion
Ssiderea020612	C-type lectin (CTL) or carbohydrate-recognition domain (CRD)
Ssiderea004706	intracellular chloride channel activity
Ssiderea001065	Suppressor of variegation 4-20 homolog 1 (Drosophila)
Ssiderea021125	Chromosome 16 open reading frame 87
Ssiderea038001	TNF receptor-associated factor
Ssiderea028754	SUZ RNA binding domain containing 1
Ssiderea015856	Chromosome 6 open reading frame 118
Ssiderea011543	Belongs to the G-protein coupled receptor 2 family
Ssiderea033874	negative regulation of meiotic chromosome separation
Ssiderea051706	Glutathione S-transferase, C-terminal domain
Ssiderea030015	Tetratricopeptide repeat
Ssiderea028142	rRNA-processing protein FCF1
Ssiderea040840	PROTEIN cell adhesion
Ssiderea013746	Glucosylceramidase activity. It is involved in the biological process described with sphingolipid metabolic process
Ssiderea004148	zinc ion binding
Ssiderea042513	6-phosphofructo-2-kinase activity
Ssiderea60428	Pao retrotransposon peptidase
Ssiderea023775	proteolysis
Ssiderea004987	Meiotic recombination protein spo11
Ssiderea057460	Cadherin repeats.
Ssiderea022713	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea018492	box C/D snoRNA metabolic process
Ssiderea050232	microtubule nucleation by interphase microtubule organizing center
Ssiderea046042	regulation of mitotic cell cycle
Ssiderea042064	Fizzy cell division cycle 20 related 1b
Ssiderea040309	-
Ssiderea029587	7 transmembrane receptor (rhodopsin family)
Ssiderea026776	negative regulation of cell migration
Ssiderea042260	Hydroxysteroid dehydrogenase-like protein
Ssiderea031742	UFM1 activating enzyme activity
Ssiderea041283	Common central domain of tyrosinase
Ssiderea039102	XK-related protein
Ssiderea004400	retrograde trans-synaptic signaling by lipid
Ssiderea024643	trans-aconitate 3-methyltransferase activity
Ssiderea049433	dihydrolipoyllysine-residue acetyltransferase activity
Ssiderea002750	fibroblast growth factor-activated receptor activity
Ssiderea058051	cellular stress response to acidic pH
Ssiderea054137	May affect the rate of fibrils formation
Ssiderea001457	crumbs homolog
Ssiderea59351	ubiquitin-like protein-specific isopeptidase activity
Ssiderea042466	Kelch-like protein 26
Ssiderea026213	G-protein coupled receptor activity
Ssiderea008234	germinal center B cell differentiation
Ssiderea007305	thioredoxin-disulfide reductase activity
Ssiderea024434	S100 protein binding
Ssiderea015554	MTOR-interacting protein
Ssiderea006517	Vitrin isoform
Ssiderea032335	rRNA (uridine-2'-O-)-methyltransferase activity
Ssiderea027213	7 transmembrane receptor (rhodopsin family)
Ssiderea59682	Ribonuclease H protein
Ssiderea043387	G-protein coupled receptor activity
Ssiderea034339	Ankyrin repeats (many copies)
Ssiderea007087	Homeodomain
Ssiderea022979	Epoxide hydrolase 2
Ssiderea050473	Ion transport protein
Ssiderea023799	tachykinin receptor activity
Ssiderea011758	acetylserotonin O-methyltransferase activity
Ssiderea026281	ectonucleotide pyrophosphatase phosphodiesterase
Ssiderea046901	O-acyltransferase
Ssiderea042320	meiotic cell cycle
Ssiderea017977	Galactose binding lectin domain
Ssiderea006420	Glycine rich protein
Ssiderea034441	F-box LRR-repeat protein
Ssiderea028673	succinate-semialdehyde dehydrogenase [NAD(P)+] activity
Ssiderea026026	Fibronectin type 3 domain
Ssiderea035234	Belongs to the ammonium transporter (TC 2.A.49) family. Rh subfamily
Ssiderea026714	Mab-21
Ssiderea025133	K02A2.6-like
Ssiderea62677	catechol-O-methyltransferase domain containing 1
Ssiderea046028	acyl-CoA oxidase activity
Ssiderea042262	Centromere protein P
Ssiderea029457	7 transmembrane receptor (rhodopsin family)
Ssiderea050530	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea004079	7 transmembrane receptor (rhodopsin family)
Ssiderea044007	visceral mesoderm-endoderm interaction involved in midgut development
Ssiderea042482	family member
Ssiderea037402	aldonic acid metabolic process
Ssiderea032146	centrosome cycle
Ssiderea011587	regulation of CD8-positive, alpha-beta T cell proliferation
Ssiderea017560	collagen
Ssiderea058775	negative regulation of growth rate
Ssiderea035608	Animal haem peroxidase
Ssiderea017358	Sidekick cell adhesion molecule
Ssiderea005877	carbohydrate binding
Ssiderea036921	-
Ssiderea038387	Coiled-coil domain-containing protein 132
Ssiderea009961	Belongs to the peptidase S1 family
Ssiderea058535	5,10-methylenetetrahydrofolate-dependent methyltransferase activity
Ssiderea016659	G-protein coupled receptor activity
Ssiderea012586	Belongs to the sodium neurotransmitter symporter (SNF) (TC 2.A.22) family
Ssiderea031878	family with sequence similarity 207, member A
Ssiderea052511	Olfactomedin-like
Ssiderea62135	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea054450	regulation of transcription by RNA polymerase II
Ssiderea005562	Tetratricopeptide repeat
Ssiderea020185	Poly (ADP-ribose) polymerase
Ssiderea054716	complement activation
Ssiderea050964	store-operated calcium channel activity
Ssiderea024121	protein kinase regulator activity
Ssiderea021027	peroxidase activity
Ssiderea045582	N-glycan processing to lysosome
Ssiderea044009	Small G protein signaling modulator 3
Ssiderea012281	Cyclic nucleotide-binding domain
Ssiderea010079	DNA-directed RNA polymerases I and III subunit
Ssiderea020071	myosin light chain kinase activity
Ssiderea015846	zinc ion binding
Ssiderea058009	procollagen-proline 4-dioxygenase activity
Ssiderea034381	positive regulation of cilium movement
Ssiderea052160	Human growth factor-like EGF
Ssiderea042841	negative regulation of smooth muscle cell differentiation
Ssiderea009039	carbohydrate binding
Ssiderea018489	TMEM151 family
Ssiderea011875	GTPase activator activity
Ssiderea007014	RNA binding
Ssiderea006018	Phytochelatin synthase
Ssiderea031812	G-protein coupled receptor activity
Ssiderea009317	polycystic kidney disease protein 1-like
