Siderastrea846961	K18663
Siderastrea401678	K12309
Siderastrea531454	K02154
Siderastrea899794	K00253
Siderastrea427137	K24459
Siderastrea379192	K25700
Siderastrea138568	K17300
Siderastrea865216	K11251
Siderastrea454979	K16478
Siderastrea273913	K00182
Siderastrea361910	K22754
Siderastrea765465	K12830
Siderastrea425122	K24361
Siderastrea452163	K07556
Siderastrea367702	K01025
Siderastrea536899	K07897
Siderastrea453379	K04606
Siderastrea436438	K15033
Siderastrea433970	K24253
Siderastrea14852	K17086
Siderastrea447501	K04919
Siderastrea726953	K02146
Siderastrea494147	K05673
Siderastrea320238	K04830
Siderastrea422893	K19703
Siderastrea66596	K22790
Siderastrea889724	K07943
Siderastrea774522	K08292
Siderastrea334349	K24936
Siderastrea797953	K11661
Siderastrea443208	K01151
Siderastrea91266	K05126
Siderastrea634924	K25451
Siderastrea492552	K24070
Siderastrea446337	K05607
Siderastrea238466	K11251
Siderastrea441805	K17592
Siderastrea456143	K14007
Siderastrea79517	K17267
Siderastrea531934	K00789
Siderastrea452372	K14786
Siderastrea436841	K16060
Siderastrea433488	K15839
Siderastrea423930	K18170
Siderastrea276916	K00106
Siderastrea287195	K10297
Siderastrea429865	K01273
Siderastrea319097	K00315
Siderastrea449734	K00659
Siderastrea453599	K08568
Siderastrea809328	K08665
Siderastrea69559	K12190
Siderastrea449315	K14020
Siderastrea454426	K22754
Siderastrea442614	K05673
Siderastrea453388	K10360
Siderastrea433767	K01897
Siderastrea848040	K08056
Siderastrea278850	K08770
Siderastrea443154	K04255
Siderastrea428960	K08409
Siderastrea436550	K10408
Siderastrea451296	K07532
Siderastrea673684	K02324
Siderastrea448306	K05312
Siderastrea443672	K13219
Siderastrea448780	K17341
Siderastrea425176	K18398
Siderastrea421408	K14558
Siderastrea546989	K10355
Siderastrea456750	K00913
Siderastrea418447	K14209
Siderastrea441637	K04238
Siderastrea303115	K07877
Siderastrea432998	K08770
Siderastrea415656	K07838
Siderastrea402614	K05643
Siderastrea573358	K06174
Siderastrea411527	K08343
Siderastrea417407	K24706
Siderastrea724950	K01528
Siderastrea308985	K24186
Siderastrea441951	K19528
Siderastrea383793	K10380
Siderastrea438844	K10298
Siderastrea419991	K09608
Siderastrea441006	K03023
Siderastrea181134	K06252
Siderastrea771541	K09848
Siderastrea441738	K00710
Siderastrea424695	K09094
Siderastrea425474	K10849
Siderastrea451947	K03654
Siderastrea240202	K00820
Siderastrea452566	K07192
Siderastrea220017	K04534
Siderastrea442134	K00940
Siderastrea305613	K05175
Siderastrea361556	K06270
Siderastrea411698	K06753
Siderastrea60901	K02866
Siderastrea427656	K10448
Siderastrea377405	K10615
Siderastrea417507	K05125
Siderastrea356013	K05743
Siderastrea324856	K15042
Siderastrea413665	K06238
Siderastrea449440	K09580
Siderastrea449421	K09530
Siderastrea802854	K14290
Siderastrea408100	K01017
Siderastrea337829	K16944
Siderastrea887393	K15837
Siderastrea643046	K07375
Siderastrea456161	K08465
Siderastrea444434	K08375
Siderastrea425351	K17809
Siderastrea449943	K08052
Siderastrea446229	K05125
Siderastrea456100	K23298
Siderastrea452906	K04989
Siderastrea451169	K22615
Siderastrea429130	K18488
Siderastrea174569	K12798
Siderastrea659562	K07192
Siderastrea619193	K02256
Siderastrea445651	K03936
Siderastrea577463	K06630
Siderastrea452115	K01897
Siderastrea446350	K01301
Siderastrea289614	K10408
Siderastrea450937	K22611
Siderastrea422505	K13443
Siderastrea429153	K09070
Siderastrea438039	K10478
Siderastrea451733	K06184
Siderastrea589069	K04393
Siderastrea448523	K23617
Siderastrea452709	K15015
Siderastrea409816	K19511
Siderastrea446884	K12495
Siderastrea186322	K15839
Siderastrea414751	K08132
Siderastrea259018	K15837
Siderastrea481200	K14640
Siderastrea445181	K02599
Siderastrea287702	K24682
Siderastrea852762	K05857
Siderastrea437131	K19680
Siderastrea418131	K13024
Siderastrea421616	K01068
Siderastrea442146	K25377
Siderastrea124066	K11254
Siderastrea870048	K14780
Siderastrea24586	K06944
Siderastrea880220	K12162
Siderastrea566986	K03234
Siderastrea332545	K01539
Siderastrea433181	K11135
Siderastrea273930	K10447
Siderastrea454569	K23112
Siderastrea430047	K15498
Siderastrea440229	K10630
Siderastrea7703	K06115
Siderastrea416588	K04287
Siderastrea66045	K04142
Siderastrea426319	K03320
Siderastrea403829	K06825
Siderastrea44892	K14842
Siderastrea321984	K11251
Siderastrea332700	K08617
Siderastrea454660	K03068
Siderastrea423986	K11273
Siderastrea442980	K00994
Siderastrea440920	K20994
Siderastrea297577	K04967
Siderastrea421698	K11498
Siderastrea432635	K16862
Siderastrea360487	K05853
Siderastrea448443	K04160
Siderastrea296504	K17592
Siderastrea421194	K13366
Siderastrea198667	K06269
Siderastrea443017	K21919
Siderastrea131595	K05692
Siderastrea434284	K00671
Siderastrea435685	K11885
Siderastrea346799	K24745
Siderastrea535371	K02906
Siderastrea454382	K05858
Siderastrea293333	K08209
Siderastrea874423	K11826
Siderastrea342655	K22754
Siderastrea401447	K06841
Siderastrea432006	K06694
Siderastrea440083	K06627
Siderastrea452158	K08076
Siderastrea239402	K12197
Siderastrea586408	K06545
Siderastrea516019	K12622
Siderastrea436259	K08873
Siderastrea94333	K20995
Siderastrea422335	K03929
Siderastrea274801	K07497
Siderastrea560869	K00412
Siderastrea417699	K03175
Siderastrea701478	K08796
Siderastrea265931	K12619
Siderastrea322712	K17592
Siderastrea266858	K17341
Siderastrea179721	K15839
Siderastrea251268	K19006
Siderastrea247667	K11182
Siderastrea684284	K10599
Siderastrea437541	K08507
Siderastrea439443	K10454
Siderastrea122800	K03648
Siderastrea715587	K06268
Siderastrea440560	K20628
Siderastrea451608	K03131
Siderastrea441693	K08601
Siderastrea379659	K11204
Siderastrea450748	K05305
Siderastrea318703	K07888
Siderastrea288223	K12309
Siderastrea442487	K02998
Siderastrea736492	K08824
Siderastrea354065	K10478
Siderastrea438108	K23909
Siderastrea433924	K14648
Siderastrea386423	K18466
Siderastrea2009	K00933
Siderastrea810632	K08826
Siderastrea441012	K15117
Siderastrea166269	K07376
Siderastrea412558	K02599
Siderastrea385253	K07497
Siderastrea448466	K07436
Siderastrea73697	K02978
Siderastrea582128	K07874
Siderastrea690172	K08132
Siderastrea452640	K15014
Siderastrea646594	K24983
Siderastrea168647	K02898
Siderastrea445692	K14779
Siderastrea431326	K14560
Siderastrea380223	K10589
Siderastrea446186	K14830
Siderastrea442674	K01240
Siderastrea695851	K23851
Siderastrea419677	K24936
Siderastrea435061	K05706
Siderastrea424298	K04285
Siderastrea421473	K01313
Siderastrea179463	K01953
Siderastrea414371	K10345
Siderastrea817358	K18890
Siderastrea259884	K14638
Siderastrea437275	K08076
Siderastrea434710	K13912
Siderastrea894870	K03231
Siderastrea107903	K00106
Siderastrea420639	K17592
Siderastrea447022	K23600
Siderastrea410162	K04976
Siderastrea581616	K01135
Siderastrea410061	K03231
Siderastrea440500	K14946
Siderastrea840725	K09584
Siderastrea442790	K01135
Siderastrea425336	K11150
Siderastrea182637	K22790
Siderastrea456107	K15712
Siderastrea414081	K09627
Siderastrea677805	K04043
Siderastrea540023	K02223
Siderastrea348220	K10443
Siderastrea345637	K01131
Siderastrea415978	K17635
Siderastrea454098	K17809
Siderastrea453248	K04715
Siderastrea449634	K12581
Siderastrea429772	K17981
Siderastrea435874	K04144
Siderastrea353987	K16353
Siderastrea432288	K04266
Siderastrea408243	K07942
Siderastrea452580	K16669
Siderastrea428356	K06259
Siderastrea437415	K03068
Siderastrea439766	K26216
Siderastrea205611	K06494
Siderastrea444606	K09657
Siderastrea440160	K17341
Siderastrea405560	K09228
Siderastrea385128	K01623
Siderastrea425518	K15127
Siderastrea449573	K13983
Siderastrea551479	K07950
Siderastrea427904	K07190
Siderastrea438917	K11730
Siderastrea416486	K11600
Siderastrea271232	K12035
Siderastrea829448	K07904
Siderastrea433094	K06841
Siderastrea268135	K17592
Siderastrea341582	K12035
Siderastrea384789	K05643
Siderastrea417931	K17495
Siderastrea367388	K10478
Siderastrea447831	K00456
Siderastrea448532	K02516
Siderastrea854982	K01315
Siderastrea120911	K24927
Siderastrea411181	K04239
Siderastrea446033	K17512
Siderastrea436014	K25700
Siderastrea574003	K15979
Siderastrea440486	K06176
Siderastrea431112	K11663
Siderastrea453517	K07888
Siderastrea27883	K24927
Siderastrea453622	K18422
Siderastrea273594	K19874
Siderastrea421230	K14686
Siderastrea434150	K22790
Siderastrea451580	K03513
Siderastrea455219	K16803
Siderastrea455171	K06478
Siderastrea454299	K14303
Siderastrea453135	K08021
Siderastrea454712	K05750
Siderastrea307097	K04978
Siderastrea456204	K08857
Siderastrea453407	K12827
Siderastrea372058	K01896
Siderastrea422272	K14558
Siderastrea352624	K05681
Siderastrea417198	K24469
Siderastrea385300	K01537
Siderastrea376693	K14411
Siderastrea621086	K09671
Siderastrea376114	K00966
Siderastrea411534	K06772
Siderastrea701643	K16726
Siderastrea209030	K05665
Siderastrea422572	K01346
Siderastrea183928	K20053
Siderastrea400001	K10159
Siderastrea482612	K23539
Siderastrea446508	K19006
Siderastrea425605	K09519
Siderastrea450596	K10407
Siderastrea525804	K00940
Siderastrea438708	K18274
Siderastrea453434	K19867
Siderastrea420745	K12604
Siderastrea455197	K18061
Siderastrea452406	K19513
Siderastrea452212	K24155
Siderastrea271823	K09276
Siderastrea448039	K24553
Siderastrea192062	K02923
Siderastrea443196	K04851
Siderastrea230189	K09228
Siderastrea419142	K00699
Siderastrea858915	K15837
Siderastrea448400	K11968
Siderastrea391541	K09230
Siderastrea411125	K11593
Siderastrea435863	K13137
Siderastrea178842	K12035
Siderastrea456024	K03654
Siderastrea446274	K24537
Siderastrea423218	K23934
Siderastrea440147	K11502
Siderastrea423483	K22017
Siderastrea358234	K02981
Siderastrea708621	K01365
Siderastrea433356	K20360
Siderastrea406508	K24675
Siderastrea397916	K19899
Siderastrea331599	K13240
Siderastrea96285	K15837
Siderastrea665871	K07889
Siderastrea324067	K24936
Siderastrea75839	K00341
Siderastrea413598	K02932
Siderastrea443442	K17887
Siderastrea441874	K01895
Siderastrea444634	K25426
Siderastrea443515	K07497
Siderastrea443427	K09627
Siderastrea424651	K14072
Siderastrea660583	K03021
Siderastrea447098	K15465
Siderastrea275699	K17495
Siderastrea873216	K03242
Siderastrea335155	K22754
Siderastrea725899	K04043
Siderastrea33719	K01379
Siderastrea616815	K02727
Siderastrea317806	K10477
Siderastrea442288	K18274
Siderastrea446487	K09905
Siderastrea368789	K00262
Siderastrea272611	K08635
Siderastrea343957	K08653
Siderastrea450363	K07588
Siderastrea421392	K03850
Siderastrea450291	K01206
Siderastrea439034	K06133
Siderastrea428463	K09532
Siderastrea348916	K05658
Siderastrea454619	K20718
Siderastrea440621	K15201
Siderastrea412998	K03544
Siderastrea437164	K08076
Siderastrea254779	K05673
Siderastrea40608	K10406
Siderastrea248711	K02377
Siderastrea398066	K24936
Siderastrea454419	K16059
Siderastrea417912	K00658
Siderastrea438135	K10457
Siderastrea438635	K02354
Siderastrea445660	K00558
Siderastrea18863	K09560
Siderastrea134291	K24469
Siderastrea441872	K15437
Siderastrea399756	K16458
Siderastrea211150	K04534
Siderastrea491281	K00809
Siderastrea420342	K14550
Siderastrea855487	K04043
Siderastrea354448	K15271
Siderastrea448562	K04362
Siderastrea306990	K17300
Siderastrea187823	K20994
Siderastrea446764	K01900
Siderastrea273596	K06058
Siderastrea321763	K01349
Siderastrea610312	K07376
Siderastrea438666	K14855
Siderastrea435335	K03652
Siderastrea560768	K15104
Siderastrea453436	K11654
Siderastrea799754	K09494
Siderastrea524475	K01322
Siderastrea454807	K04887
Siderastrea337201	K13811
Siderastrea455600	K18663
Siderastrea453393	K18274
Siderastrea205277	K14985
Siderastrea441093	K04223
Siderastrea431723	K15015
Siderastrea456104	K12460
Siderastrea348827	K04202
Siderastrea436598	K07517
Siderastrea434981	K05948
Siderastrea456229	K24774
Siderastrea435518	K15287
Siderastrea453255	K22614
Siderastrea435605	K16065
Siderastrea447282	K15980
Siderastrea107368	K11584
Siderastrea455346	K09322
Siderastrea435778	K17425
Siderastrea906095	K01858
Siderastrea335048	K06248
Siderastrea448219	K01245
Siderastrea441419	K22610
Siderastrea427922	K24936
Siderastrea254804	K04646
Siderastrea417681	K10407
Siderastrea439018	K08764
Siderastrea439564	K09382
Siderastrea418937	K14720
Siderastrea449415	K02606
Siderastrea454811	K12132
Siderastrea434684	K10892
Siderastrea416623	K04978
Siderastrea448526	K23820
Siderastrea292082	K15837
Siderastrea383772	K09905
Siderastrea16381	K23222
Siderastrea448571	K03188
Siderastrea440310	K18585
Siderastrea213682	K03174
Siderastrea429338	K08187
Siderastrea250954	K01050
Siderastrea446848	K22197
Siderastrea414126	K25168
Siderastrea424652	K13420
Siderastrea298532	K00029
Siderastrea453978	K24431
Siderastrea268362	K22754
Siderastrea453947	K04533
Siderastrea357317	K19899
Siderastrea453047	K24062
Siderastrea580522	K06174
Siderastrea439472	K09668
Siderastrea336943	K03953
Siderastrea455314	K01142
Siderastrea453265	K14354
Siderastrea412938	K05126
Siderastrea394412	K01803
Siderastrea423247	K22656
Siderastrea342042	K04253
Siderastrea305035	K22754
Siderastrea252012	K14845
Siderastrea450433	K11654
Siderastrea898935	K15620
Siderastrea365406	K21893
Siderastrea386307	K17689
Siderastrea420431	K21922
Siderastrea14364	K10355
Siderastrea295556	K00924
Siderastrea406168	K07436
Siderastrea430021	K24469
Siderastrea427626	K04358
Siderastrea702931	K03934
Siderastrea32723	K24133
Siderastrea415466	K23027
Siderastrea728334	K06115
Siderastrea364900	K06754
Siderastrea412993	K08076
Siderastrea456276	K03068
Siderastrea446453	K02888
Siderastrea750911	K02262
Siderastrea455665	K24610
Siderastrea299541	K11153
Siderastrea454086	K09382
Siderastrea452553	K06545
Siderastrea434746	K10350
Siderastrea454591	K07497
Siderastrea446759	K05728
Siderastrea446607	K15429
Siderastrea547577	K20051
Siderastrea675109	K00544
Siderastrea398934	K12132
Siderastrea729492	K01872
Siderastrea180729	K09490
Siderastrea416010	K01019
Siderastrea29970	K08961
Siderastrea403938	K17535
Siderastrea447894	K25421
Siderastrea432162	K02995
Siderastrea440995	K00659
Siderastrea354071	K07497
Siderastrea339944	K05692
Siderastrea434683	K05094
Siderastrea582561	K12812
Siderastrea415889	K09267
Siderastrea413071	K09849
Siderastrea445850	K10419
Siderastrea92401	K01904
Siderastrea652475	K13525
Siderastrea498243	K02870
Siderastrea410918	K24927
Siderastrea435835	K24895
Siderastrea401141	K14071
Siderastrea368457	K12035
Siderastrea436294	K16197
Siderastrea456696	K05695
Siderastrea442840	K24470
Siderastrea417909	K15261
Siderastrea429110	K16353
Siderastrea357216	K03929
Siderastrea441935	K25700
Siderastrea175159	K06760
Siderastrea456203	K09533
Siderastrea59706	K24936
Siderastrea449873	K10846
Siderastrea421286	K00710
Siderastrea411702	K08059
Siderastrea485635	K04382
Siderastrea266910	K17592
Siderastrea451576	K06826
Siderastrea450828	K01373
Siderastrea384126	K03899
Siderastrea852924	K01915
Siderastrea441304	K08076
Siderastrea388948	K01025
Siderastrea423375	K07441
Siderastrea179062	K12035
Siderastrea447763	K01053
Siderastrea450227	K05719
Siderastrea297570	K03068
Siderastrea42167	K11519
Siderastrea96378	K10358
Siderastrea353555	K08439
Siderastrea643566	K08892
Siderastrea348946	K07739
Siderastrea419365	K06125
Siderastrea326284	K08375
Siderastrea424186	K02219
Siderastrea432363	K02599
Siderastrea437070	K10656
Siderastrea346448	K17286
Siderastrea440541	K10803
Siderastrea396900	K12831
Siderastrea146748	K01836
Siderastrea453439	K24422
Siderastrea451898	K07497
Siderastrea437587	K02926
Siderastrea294689	K02955
Siderastrea405395	K23222
Siderastrea450700	K17689
Siderastrea442890	K10737
Siderastrea29780	K00873
Siderastrea448535	K10487
Siderastrea416211	K23853
Siderastrea427515	K06278
Siderastrea436009	K10349
Siderastrea535708	K01872
Siderastrea417454	K22266
Siderastrea443053	K16289
Siderastrea493017	K07937
Siderastrea452678	K06058
Siderastrea431885	K22791
Siderastrea782360	K09493
Siderastrea414857	K04742
Siderastrea410233	K11546
Siderastrea230089	K14616
Siderastrea426888	K07375
Siderastrea441083	K22733
Siderastrea453500	K12845
Siderastrea409037	K17687
Siderastrea451275	K07903
Siderastrea554862	K00671
Siderastrea448721	K08292
Siderastrea712368	K08292
Siderastrea900711	K02985
Siderastrea387750	K10478
Siderastrea307037	K10951
Siderastrea411241	K04828
Siderastrea196051	K07408
Siderastrea430165	K07440
Siderastrea411378	K04307
Siderastrea451695	K23820
Siderastrea439634	K23222
Siderastrea464446	K07767
Siderastrea92013	K09637
Siderastrea697261	K03231
Siderastrea850469	K06838
Siderastrea453222	K06051
Siderastrea449646	K17655
Siderastrea420801	K04152
Siderastrea425113	K23313
Siderastrea439297	K12844
Siderastrea445831	K17917
Siderastrea450548	K14530
Siderastrea348289	K03264
Siderastrea451229	K06825
Siderastrea448020	K01897
Siderastrea348516	K00654
Siderastrea585914	K06630
Siderastrea450977	K12815
Siderastrea442981	K00134
Siderastrea453205	K08630
Siderastrea323194	K04828
Siderastrea396338	K07509
Siderastrea440602	K08469
Siderastrea666891	K02324
Siderastrea396039	K01316
Siderastrea412600	K01311
Siderastrea447972	K24511
Siderastrea441950	K05695
Siderastrea66280	K03347
Siderastrea446600	K05293
Siderastrea402798	K00503
Siderastrea317044	K09214
Siderastrea436102	K14795
Siderastrea412183	K12384
Siderastrea501404	K12818
Siderastrea436588	K22766
Siderastrea401044	K04839
Siderastrea284992	K24431
Siderastrea398947	K09223
Siderastrea452498	K23113
Siderastrea445384	K22888
Siderastrea427407	K09385
Siderastrea124626	K15837
Siderastrea340660	K15015
Siderastrea286466	K11169
Siderastrea454408	K04974
Siderastrea442701	K01276
Siderastrea607703	K13247
Siderastrea386756	K12309
Siderastrea389727	K11498
Siderastrea351918	K10159
Siderastrea448371	K04567
Siderastrea454441	K01135
Siderastrea393342	K01135
Siderastrea171810	K01802
Siderastrea187880	K06569
Siderastrea454552	K06834
Siderastrea440527	K13517
Siderastrea403348	K11997
Siderastrea452986	K08764
Siderastrea420649	K12035
Siderastrea815074	K11252
Siderastrea439082	K10380
Siderastrea526386	K11088
Siderastrea143079	K01855
Siderastrea451596	K01555
Siderastrea279790	K10414
Siderastrea765370	K08958
Siderastrea432717	K22075
Siderastrea440754	K11592
Siderastrea166662	K20793
Siderastrea433289	K05704
Siderastrea321658	K11275
Siderastrea705552	K03010
Siderastrea453077	K14688
Siderastrea451762	K00889
Siderastrea455884	K04362
Siderastrea439837	K20308
Siderastrea362478	K18274
Siderastrea232272	K11094
Siderastrea396323	K06721
Siderastrea166967	K01681
Siderastrea439586	K24099
Siderastrea451837	K09637
Siderastrea323456	K17341
Siderastrea416987	K03120
Siderastrea275545	K07376
Siderastrea254740	K14560
Siderastrea454416	K07497
Siderastrea445306	K16587
Siderastrea405297	K01135
Siderastrea649551	K13220
Siderastrea429423	K07890
Siderastrea432292	K24472
Siderastrea433556	K24936
Siderastrea213729	K04422
Siderastrea445254	K12309
Siderastrea855757	K11593
Siderastrea384391	K12947
Siderastrea770048	K02739
Siderastrea875363	K00411
Siderastrea444804	K21625
Siderastrea250281	K06252
Siderastrea148866	K02937
Siderastrea409535	K04988
Siderastrea448783	K19330
Siderastrea179291	K09580
Siderastrea305896	K17729
Siderastrea445072	K08187
Siderastrea433654	K15030
Siderastrea455566	K03255
Siderastrea451797	K00149
Siderastrea442634	K23407
Siderastrea425854	K10458
Siderastrea430627	K03233
Siderastrea437860	K14569
Siderastrea434603	K11517
Siderastrea397242	K01301
Siderastrea796455	K14401
Siderastrea440675	K23568
Siderastrea423652	K10454
Siderastrea431970	K10144
Siderastrea374894	K05126
Siderastrea1483	K03283
Siderastrea218071	K08770
Siderastrea447767	K04575
Siderastrea431272	K09331
Siderastrea453210	K24468
Siderastrea442436	K13208
Siderastrea350270	K10380
Siderastrea442386	K19176
Siderastrea42874	K12856
Siderastrea454158	K07912
Siderastrea452100	K08660
Siderastrea452479	K13338
Siderastrea441076	K17925
Siderastrea268269	K04382
Siderastrea435281	K18460
Siderastrea452195	K05126
Siderastrea441743	K01349
Siderastrea447802	K05674
Siderastrea397864	K10478
Siderastrea433109	K24470
Siderastrea439780	K24361
Siderastrea267346	K09628
Siderastrea560037	K09458
Siderastrea444089	K02503
Siderastrea539568	K16669
Siderastrea454830	K22754
Siderastrea436396	K11093
Siderastrea448977	K15381
Siderastrea399355	K16353
Siderastrea440608	K21922
Siderastrea413253	K02939
Siderastrea222906	K09578
Siderastrea605318	K04606
Siderastrea407202	K15521
Siderastrea448507	K06753
Siderastrea250193	K10478
Siderastrea190325	K09230
Siderastrea440089	K00815
Siderastrea707553	K01358
Siderastrea425185	K15837
Siderastrea426427	K01674
Siderastrea454926	K06699
Siderastrea450191	K13855
Siderastrea437998	K10580
Siderastrea426226	K14072
Siderastrea795862	K10956
Siderastrea456031	K10407
Siderastrea354667	K07374
Siderastrea453131	K22371
Siderastrea446785	K16309
Siderastrea445812	K18080
Siderastrea450017	K14354
Siderastrea475943	K03038
Siderastrea423995	K00616
Siderastrea444820	K03686
Siderastrea722948	K13858
Siderastrea755796	K12398
Siderastrea371895	K24792
Siderastrea136008	K04287
Siderastrea413114	K02295
Siderastrea454501	K22827
Siderastrea634884	K02111
Siderastrea447812	K14429
Siderastrea435595	K05312
Siderastrea260087	K08606
Siderastrea420260	K09273
Siderastrea268021	K08776
Siderastrea400927	K23756
Siderastrea447968	K14018
Siderastrea580517	K04639
Siderastrea450065	K04967
Siderastrea432463	K14347
Siderastrea436305	K18798
Siderastrea248932	K15837
Siderastrea302007	K09448
Siderastrea208828	K07380
Siderastrea372878	K04163
Siderastrea453852	K17658
Siderastrea441882	K11141
Siderastrea455445	K00876
Siderastrea444379	K24054
Siderastrea442916	K24835
Siderastrea448117	K13748
Siderastrea441303	K08375
Siderastrea454367	K20899
Siderastrea422702	K03103
Siderastrea447472	K07953
Siderastrea766077	K06704
Siderastrea370429	K10408
Siderastrea395225	K05673
Siderastrea443404	K12847
Siderastrea395920	K10843
Siderastrea427268	K16816
Siderastrea453872	K16608
Siderastrea430735	K17580
Siderastrea433272	K00799
Siderastrea455721	K00750
Siderastrea443174	K10891
Siderastrea422730	K04988
Siderastrea444739	K22651
Siderastrea682903	K17341
Siderastrea448463	K21644
Siderastrea418709	K21052
Siderastrea446812	K10273
Siderastrea865916	K18857
Siderastrea229481	K07874
Siderastrea403566	K04135
Siderastrea572021	K04551
Siderastrea451381	K23914
Siderastrea441217	K09848
Siderastrea876494	K00020
Siderastrea417761	K04984
Siderastrea346887	K11150
Siderastrea309765	K15837
Siderastrea435980	K18169
Siderastrea455758	K07497
Siderastrea435783	K19523
Siderastrea447456	K12373
Siderastrea354479	K04150
Siderastrea414682	K03183
Siderastrea452389	K20644
Siderastrea452064	K09409
Siderastrea353189	K23544
Siderastrea446923	K06497
Siderastrea441927	K11340
Siderastrea249169	K01537
Siderastrea441009	K03037
Siderastrea455431	K08843
Siderastrea438955	K24730
Siderastrea245044	K02218
Siderastrea303031	K11165
Siderastrea454753	K17253
Siderastrea442988	K09233
Siderastrea427556	K01510
Siderastrea793405	K13866
Siderastrea421459	K22314
Siderastrea399199	K04851
Siderastrea197864	K14004
Siderastrea195992	K14985
Siderastrea358776	K01565
Siderastrea443601	K09114
Siderastrea435949	K01275
Siderastrea434999	K03654
Siderastrea443091	K14823
Siderastrea418474	K07497
Siderastrea382059	K10380
Siderastrea404564	K20226
Siderastrea195039	K19467
Siderastrea428420	K11628
Siderastrea434830	K13700
Siderastrea652193	K05671
Siderastrea340665	K10408
Siderastrea473658	K17384
Siderastrea452632	K24185
Siderastrea437993	K19024
Siderastrea451337	K14607
Siderastrea194093	K13126
Siderastrea453100	K07752
Siderastrea445947	K15837
Siderastrea317668	K03234
Siderastrea440299	K13348
Siderastrea449816	K22754
Siderastrea309635	K05692
Siderastrea452131	K09848
Siderastrea437391	K19755
Siderastrea419740	K13045
Siderastrea100650	K15837
Siderastrea740745	K05692
Siderastrea420091	K24936
Siderastrea443534	K04600
Siderastrea244865	K07874
Siderastrea400932	K06754
Siderastrea419596	K07916
Siderastrea193446	K08193
Siderastrea443323	K05502
Siderastrea429214	K09108
Siderastrea573604	K11143
Siderastrea430566	K05181
Siderastrea444311	K15105
Siderastrea452249	K17680
Siderastrea449023	K17495
Siderastrea389649	K05665
Siderastrea421642	K07874
Siderastrea422463	K08076
Siderastrea415657	K02907
Siderastrea271351	K23318
Siderastrea443795	K12231
Siderastrea621523	K09657
Siderastrea354470	K06063
Siderastrea412220	K06630
Siderastrea546095	K04874
Siderastrea442874	K10478
Siderastrea436267	K10412
Siderastrea431983	K24369
Siderastrea243161	K10408
Siderastrea411242	K04739
Siderastrea278688	K08132
Siderastrea421524	K23335
Siderastrea408278	K14831
Siderastrea432318	K02599
Siderastrea420225	K10277
Siderastrea611247	K12815
Siderastrea434042	K20795
Siderastrea435131	K14995
Siderastrea441145	K08855
Siderastrea154119	K04079
Siderastrea453482	K03877
Siderastrea467089	K12736
Siderastrea445897	K25165
Siderastrea288651	K18663
Siderastrea443363	K25435
Siderastrea722802	K04988
Siderastrea282503	K12047
Siderastrea454423	K01206
Siderastrea439844	K10262
Siderastrea453564	K02501
Siderastrea435932	K03062
Siderastrea453071	K01637
Siderastrea452503	K01132
Siderastrea575791	K00012
Siderastrea450163	K18343
Siderastrea456742	K18422
Siderastrea420795	K07375
Siderastrea450121	K24429
Siderastrea449870	K13146
Siderastrea313836	K25740
Siderastrea453996	K17916
Siderastrea403467	K23342
Siderastrea441803	K12618
Siderastrea423518	K04712
Siderastrea428657	K07971
Siderastrea395995	K04887
Siderastrea451093	K09666
Siderastrea431526	K09624
Siderastrea438762	K01019
Siderastrea329860	K00232
Siderastrea429106	K11800
Siderastrea419207	K19372
Siderastrea401494	K19398
Siderastrea455956	K08495
Siderastrea440398	K14290
Siderastrea235365	K03231
Siderastrea839716	K03934
Siderastrea241358	K17592
Siderastrea323665	K04267
Siderastrea329438	K01301
Siderastrea337529	K16857
Siderastrea376869	K03992
Siderastrea450406	K19750
Siderastrea335366	K02599
Siderastrea410295	K15455
Siderastrea689969	K11254
Siderastrea396140	K00273
Siderastrea714119	K00812
Siderastrea417200	K03175
Siderastrea415293	K19760
Siderastrea439654	K11089
Siderastrea381885	K10382
Siderastrea452281	K26109
Siderastrea426113	K06287
Siderastrea448118	K10408
Siderastrea420773	K02943
Siderastrea192460	K02964
Siderastrea122048	K05643
Siderastrea12276	K10408
Siderastrea435088	K10355
Siderastrea452202	K06059
Siderastrea297351	K05665
Siderastrea427643	K25777
Siderastrea452377	K17560
Siderastrea451316	K15121
Siderastrea792219	K13506
Siderastrea446779	K14445
Siderastrea437781	K13051
Siderastrea215887	K02978
Siderastrea389790	K03671
Siderastrea361623	K08738
Siderastrea408853	K23677
Siderastrea446038	K15261
Siderastrea234103	K09495
Siderastrea820991	K05110
Siderastrea173105	K03175
Siderastrea446035	K19753
Siderastrea188060	K07497
Siderastrea441598	K16748
Siderastrea325068	K24431
Siderastrea675384	K24936
Siderastrea432475	K17972
Siderastrea615094	K06711
Siderastrea451379	K04978
Siderastrea302373	K13278
Siderastrea451691	K24936
Siderastrea406072	K05692
Siderastrea428904	K02136
Siderastrea84010	K10394
Siderastrea197707	K17936
Siderastrea402242	K01687
Siderastrea207264	K18758
Siderastrea255792	K00907
Siderastrea405921	K12021
Siderastrea440115	K06944
Siderastrea440270	K18207
Siderastrea359246	K21893
Siderastrea401287	K20994
Siderastrea438956	K22038
Siderastrea637317	K11096
Siderastrea548234	K18464
Siderastrea705565	K04043
Siderastrea170685	K08740
Siderastrea442757	K19948
Siderastrea306004	K05044
Siderastrea812341	K02976
