Ssiderea250769	tRNA guanylyltransferase activity
Ssiderea228311	mitochondrial respiratory chain complex IV assembly
Ssiderea251420	aspartate oxidase activity
Ssiderea241400	negative regulation of cell death
Ssiderea373151	tachykinin receptor activity
Ssiderea260764	DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates
Ssiderea263652	translation initiation factor activity
Ssiderea226165	protein heterodimerization activity
Ssiderea253289	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Ssiderea215340	transposition, RNA-mediated
Ssiderea239274	hematopoietic progenitor cell differentiation
Ssiderea251526	methyltransferase activity
Ssiderea232530	Repeats in THEG (testicular haploid expressed gene) and several fly proteins.
Ssiderea267485	prolyl-tRNA aminoacylation
Ssiderea265329	Belongs to the universal ribosomal protein uS13 family
Ssiderea250177	zinc metalloproteinase
Ssiderea228905	SMG6, nonsense mediated mRNA decay factor
Ssiderea269813	sphingolipid transporter activity
Ssiderea253944	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1
Ssiderea267209	Urease alpha-subunit, N-terminal domain
Ssiderea250129	Kinesin-like protein
Ssiderea256996	inactive tRNA-specific adenosine deaminase-like protein
Ssiderea200630	Sertoli cell development
Ssiderea216009	negative regulation of bile acid biosynthetic process
Ssiderea142834	Thyroglobulin
Ssiderea251484	-
Ssiderea256670	anandamide amidohydrolase activity
Ssiderea250396	Transmembrane protein 26
Ssiderea265589	Solute carrier family 35, member B1
Ssiderea3764	transmembrane transport
Ssiderea249145	EamA-like transporter family
Ssiderea254543	NADP-retinol dehydrogenase activity
Ssiderea258276	elastin catabolic process
Ssiderea212515	transcriptional enhancer factor
Ssiderea241837	Rap Ran-GAP domain-like
Ssiderea260165	apoptotic mitochondrial changes
Ssiderea241702	Er lumen protein retaining receptor
Ssiderea269145	Belongs to the protein-tyrosine phosphatase family. Non-receptor class myotubularin subfamily
Ssiderea241296	GTP-dependent protein binding
Ssiderea249762	Zinc ion binding. It is involved in the biological process described with regulation of transcription, DNA-templated
Ssiderea262524	Plays a role in the regulation of the mitochondrial ribosome assembly and of translational activity. Displays mitochondrial GTPase activity
Ssiderea237382	Acyl-CoA synthetase long-chain family member
Ssiderea243411	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process
Ssiderea219811	microtubule motor activity
Ssiderea266789	microtubule motor activity
Ssiderea246183	Protein of unknown function (DUF4551)
Ssiderea222013	ATP binding
Ssiderea256315	Ethylene-responsive protein kinase Le-CTR1
Ssiderea263675	ATP-dependent DNA helicase RecQ
Ssiderea250300	histone acetyltransferase activity
Ssiderea250554	glycolipid translocation
Ssiderea245018	heat shock
Ssiderea5078	Replication timing regulatory factor 1
Ssiderea212408	fibroblast growth factor-activated receptor activity
Ssiderea224437	Phosphomevalonate kinase
Ssiderea47051	CHAT domain
Ssiderea233364	NAD(P)H-binding
Ssiderea235720	-
Ssiderea267687	Neutral amino acid transporter
Ssiderea238724	G kinase anchoring protein 1
Ssiderea263041	cilium assembly
Ssiderea271035	TBC1 domain family, member 13
Ssiderea314624	Fatty acid desaturase
Ssiderea250426	RNA binding
Ssiderea208860	sucrose alpha-glucosidase activity
Ssiderea268983	stromal interaction molecule
Ssiderea262720	lysosomal lumen pH elevation
Ssiderea207781	Serine palmitoyltransferase, long chain base subunit
Ssiderea239999	peptide-O-fucosyltransferase activity
Ssiderea256165	L-gulonolactone oxidase-like
Ssiderea199638	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea252101	peptidyl-serine phosphorylation
Ssiderea253419	Tektin 3
Ssiderea217573	Collagen triple helix
Ssiderea248501	Belongs to the syntaxin family
Ssiderea132287	translation elongation factor activity
Ssiderea241704	protein phosphatase inhibitor activity
Ssiderea268621	RNA-directed DNA polymerase from mobile element jockey-like
Ssiderea470732	potassium voltage-gated channel
Ssiderea235160	chemotaxis to arachidonic acid
Ssiderea239234	E3 ubiquitin-protein ligase
Ssiderea266999	MAP kinase kinase kinase kinase activity
Ssiderea223236	Pre-mRNA-splicing factor ATP-dependent RNA helicase
Ssiderea256505	nuclear pore localization
Ssiderea247033	glutathione-disulfide reductase activity
Ssiderea242842	-
Ssiderea218730	zinc-binding in reverse transcriptase
Ssiderea226985	regulation of mitotic cell cycle
Ssiderea554781	aspartic-type endopeptidase activity
Ssiderea251671	Starch/carbohydrate-binding module (family 53)
Ssiderea361505	Transposase IS4
Ssiderea204931	Mannosidase alpha class 2B member 1
Ssiderea255192	chromatin remodeling
Ssiderea247329	protein-cysteine S-acyltransferase activity
Ssiderea256791	O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase activity. It is involved in the biological process described with pattern specification process
Ssiderea254796	NADP-retinol dehydrogenase activity
Ssiderea270019	NFX1-type zinc finger-containing protein 1-like
Ssiderea236758	lathosterol oxidase activity
Ssiderea244487	regulation of protein K63-linked deubiquitination
Ssiderea259333	metaphase/anaphase transition of mitotic cell cycle
Ssiderea216379	-
Ssiderea264270	intracellular protein transport
Ssiderea247551	exocyst assembly
Ssiderea252691	mitotic spindle assembly checkpoint
Ssiderea258700	phosphatidylinositol biosynthetic process
Ssiderea230891	UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity
Ssiderea209255	Coiled-coil domain containing 157
Ssiderea265719	iron import into the mitochondrion
Ssiderea224803	carbohydrate binding
Ssiderea264862	acetylgalactosaminyltransferase activity
Ssiderea257728	Protein tyrosine kinase
Ssiderea254585	3-beta-hydroxy-delta5-steroid dehydrogenase activity
Ssiderea225678	Protein tyrosine kinase
Ssiderea264570	determination of stomach left/right asymmetry
Ssiderea240880	Belongs to the peptidase M10A family
Ssiderea226529	metal ion binding
Ssiderea255379	Domain abundant in complement control proteins; SUSHI repeat; short complement-like repeat (SCR)
Ssiderea260384	meiotic cell cycle
Ssiderea256936	Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
Ssiderea266905	glossopharyngeal nerve morphogenesis
Ssiderea262046	Inhibitor of Bruton tyrosine kinase
Ssiderea255010	Notch receptor processing
Ssiderea149254	steroid hormone receptor activity
Ssiderea229100	Splicing factor 3B subunit 1
Ssiderea220883	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Ssiderea253830	Coiled-coil domain containing 157
Ssiderea189582	7 transmembrane receptor (rhodopsin family)
Ssiderea263445	oxidoreductase activity
Ssiderea263422	negative regulation of transcription from RNA polymerase II promoter involved in heart development
Ssiderea250057	steroid hormone mediated signaling pathway
Ssiderea258210	It is involved in the biological process described with regulation of signaling
Ssiderea240646	cellular stress response to acidic pH
Ssiderea231770	glycine import into mitochondrion
Ssiderea264737	N-terminal peptidyl-glycine N-myristoylation
Ssiderea238392	A2A adenosine receptor binding
Ssiderea239844	ribosomal large subunit assembly
Ssiderea589776	myosin light chain kinase
Ssiderea266992	cellular response to tetrahydrofolate
Ssiderea224412	Glycosyltransferase family 28 C-terminal domain
Ssiderea257371	heat shock
Ssiderea255828	kiaa0825
Ssiderea268340	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Ssiderea270930	Belongs to the zinc-containing alcohol dehydrogenase family. Class-III subfamily
Ssiderea264316	metalloendopeptidase activity
Ssiderea245562	NFX1-type zinc finger-containing protein 1-like
Ssiderea192207	Catalyzes the formation of S-adenosylmethionine from methionine and ATP
Ssiderea234430	plasma membrane repair
Ssiderea218605	nucleic acid-templated transcription
Ssiderea261656	uroporphyrinogen III biosynthetic process
Ssiderea231754	osmolarity-sensing cation channel activity
Ssiderea230968	nucleic acid binding
Ssiderea250456	regulation of mast cell degranulation
Ssiderea259113	mitochondrial transport
Ssiderea5608	pseudouridine synthase activity
Ssiderea237865	RNA binding
Ssiderea201819	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea261074	Belongs to the amiloride-sensitive sodium channel (TC 1.A.6) family
Ssiderea255374	transcriptional
Ssiderea345625	zinc ion binding
Ssiderea233982	Ring finger and WD repeat domain 2
Ssiderea70258	metalloaminopeptidase activity
Ssiderea246747	sodium channel activity
Ssiderea568048	negative regulation of hematopoietic stem cell differentiation
Ssiderea248702	UDP-Gal betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
Ssiderea254826	7 transmembrane receptor (rhodopsin family)
Ssiderea264866	regulation of proline transport
Ssiderea254132	Cilia and flagella associated protein 157
Ssiderea263948	protein processing involved in protein targeting to mitochondrion
Ssiderea263006	ribosomal protein L18
Ssiderea261095	oligopeptide transmembrane transporter activity
Ssiderea229311	DNA repair
Ssiderea255565	very long-chain fatty acid-CoA ligase activity
Ssiderea252405	vascular endothelial growth factor receptor-2 signaling pathway
Ssiderea254363	-
Ssiderea268453	voltage-gated chloride channel activity
Ssiderea266498	piRNA metabolic process
Ssiderea271665	Tetratricopeptide repeat and ankyrin repeat containing 1
Ssiderea254100	ATPase activity, coupled to transmembrane movement of substances
Ssiderea266357	Leucine-rich repeat
Ssiderea254375	Zinc-binding dehydrogenase
Ssiderea271963	Catalyzes the attachment of alanine to tRNA(Ala) in a two-step reaction alanine is first activated by ATP to form Ala- AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged tRNA(Ala) via its editing domain
Ssiderea269287	DDE superfamily endonuclease
Ssiderea162113	lipoprotein receptor-related protein
Ssiderea234941	transferase activity, transferring hexosyl groups
Ssiderea227521	SUMO sentrin specific peptidase family member 8
Ssiderea247872	Ras-related C3 botulinum toxin substrate
Ssiderea588765	with thrombospondin
Ssiderea223424	Uncharacterised protein family (UPF0193)
Ssiderea241914	complement activation, classical pathway
Ssiderea155007	Belongs to the glycosyl hydrolase 5 (cellulase A) family
Ssiderea256890	intermembrane sphingolipid transfer activity
Ssiderea266698	acetyl-CoA C-acetyltransferase activity
Ssiderea238577	Rab guanyl-nucleotide exchange factor activity
Ssiderea256808	BTB And C-terminal Kelch
Ssiderea228197	negative regulation of mitotic centrosome separation
Ssiderea261844	RIG-I binding
Ssiderea250620	Initiation factor 5a
Ssiderea252784	Solute carrier family 35
Ssiderea230649	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
Ssiderea249657	synaptic vesicle budding from presynaptic endocytic zone membrane
Ssiderea176168	coagulation factor V
Ssiderea269491	regulation of Ral protein signal transduction
Ssiderea262145	acylglycerol kinase activity
Ssiderea258903	cAMP-dependent protein kinase regulator activity
Ssiderea261452	melanocortin receptor activity
Ssiderea257981	Wnt-activated receptor activity
Ssiderea253614	Pbx knotted 1 homeobox
Ssiderea221982	Progestin and adipoQ receptor family member
Ssiderea266008	G-protein coupled receptor
Ssiderea254119	very-long-chain-acyl-CoA dehydrogenase activity
Ssiderea256954	WD40 repeats
Ssiderea240434	Adenylate kinase
Ssiderea257629	PAP2 superfamily
Ssiderea233516	RNA-DNA hybrid ribonuclease activity
Ssiderea223597	regulation of mitotic cell cycle
Ssiderea173280	intracellular protein transport in other organism involved in symbiotic interaction
Ssiderea268233	Ribonuclease H protein
Ssiderea250066	7 transmembrane receptor (rhodopsin family)
Ssiderea248699	Transmembrane protein 241
Ssiderea260730	ubiquinone biosynthetic process
Ssiderea244229	negative regulation of axon extension involved in regeneration
Ssiderea268992	ATPase activity, coupled to transmembrane movement of substances
Ssiderea263955	heme binding
Ssiderea248881	-
Ssiderea226685	fibroblast growth factor-activated receptor activity
Ssiderea31817	Belongs to the universal ribosomal protein uS3 family
Ssiderea270482	plasma membrane repair
Ssiderea252433	iron ion binding
Ssiderea245822	Werner syndrome
Ssiderea556711	MAM domain, meprin/A5/mu
Ssiderea259276	DNA Replication
Ssiderea238434	serine-type endopeptidase activity
Ssiderea263468	TeTratriCopeptide repeat
Ssiderea40868	translation elongation factor activity
Ssiderea260864	negative regulation of centriole-centriole cohesion
Ssiderea268216	RNA secondary structure unwinding
Ssiderea230565	regulation of mature B cell apoptotic process
Ssiderea249985	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea258108	LIM domain kinase
Ssiderea248683	acidic dipeptidase 2
Ssiderea222741	calcium, potassium:sodium antiporter activity
Ssiderea205498	Tyrosine kinase, catalytic domain
Ssiderea270543	alpha-1,4-glucosidase activity
Ssiderea253690	retrograde transport, vesicle recycling within Golgi
Ssiderea156041	spectrin binding
Ssiderea246077	structural constituent of ribosome
Ssiderea226203	mothers against decapentaplegic homolog
Ssiderea248252	Belongs to the heat shock protein 70 family
Ssiderea189002	ATPase activity, coupled to transmembrane movement of substances
Ssiderea249423	Small glutamine-rich tetratricopeptide
Ssiderea213400	PFAM O-methyltransferase
Ssiderea178864	carbohydrate binding
Ssiderea236045	Thrombospondin-type laminin G domain and EAR
Ssiderea476114	Belongs to the peptidase C1 family
Ssiderea258324	enoyl-CoA delta isomerase 2
Ssiderea267223	DDB1 and CUL4 associated factor 1
Ssiderea264299	-
Ssiderea236805	sphingomyelin phosphodiesterase activator activity
Ssiderea230566	adenylate kinase activity
Ssiderea224719	ATP-binding cassette sub-family A
Ssiderea255802	peroxisome membrane targeting sequence binding
Ssiderea215744	sulfuric ester hydrolase activity
Ssiderea256654	pogo transposable element with KRAB domain
Ssiderea260828	Bardet-Biedl syndrome 4
Ssiderea237414	positive regulation of transcription from RNA polymerase II promoter involved in norepinephrine biosynthetic process
Ssiderea191843	digestion
Ssiderea229976	Mitochondrial ribosomal protein MRP-S35
Ssiderea241920	galactitol metabolic process
Ssiderea261096	phosphatidylinositol-3,4,5-trisphosphate binding
Ssiderea233132	Coenzyme A synthase
Ssiderea263534	Belongs to the glycosyltransferase 43 family
Ssiderea232574	cationic amino acid transporter
Ssiderea245078	Ligand-gated ion channel
Ssiderea335189	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea164568	voltage-gated potassium channel activity
Ssiderea248671	tRNA methylation
Ssiderea235087	protein phosphatase 1, regulatory subunit 21
Ssiderea228217	arsonoacetate metabolic process
Ssiderea566437	Elongation factor G, domain IV
Ssiderea250055	oxygen carrier activity
Ssiderea252340	Belongs to the glycosyl hydrolase 30 family
Ssiderea429689	phosphatase 2C
Ssiderea254688	ATPase activity, coupled to transmembrane movement of substances
Ssiderea258977	mothers against decapentaplegic homolog
Ssiderea268319	sodium potassium-transporting ATPase subunit
Ssiderea267232	Thrombospondin type 1 repeats
Ssiderea239207	Mitochondrial carrier protein
Ssiderea242317	regulation of glucose import
Ssiderea247529	magnesium ion homeostasis
Ssiderea226787	poly(A) RNA polymerase
Ssiderea236572	acetyl-CoA metabolic process
Ssiderea253605	methylated histone binding
Ssiderea257183	nuclear export
Ssiderea229282	glucuronosyltransferase activity
Ssiderea240318	Chondroitin sulfate synthase
Ssiderea245572	DNA binding
Ssiderea212555	cullin family protein binding
Ssiderea251631	Two pore calcium channel protein
Ssiderea254828	GTP binding. It is involved in the biological process described with protein transport
Ssiderea269350	zinc ion binding
Ssiderea259853	Pumilio-family RNA binding repeat
Ssiderea260759	Cyclic nucleotide-monophosphate binding domain
Ssiderea260365	N-acetylgalactosamine 4-O-sulfotransferase activity
Ssiderea267467	PHD finger protein 3
Ssiderea228412	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea243801	Molecular chaperone
Ssiderea268744	DNA-directed 5'-3' RNA polymerase activity
Ssiderea229814	biogenesis factor 2
Ssiderea226921	NCK adaptor protein
Ssiderea227507	NADP-retinol dehydrogenase activity
Ssiderea226310	Catalyzes the phosphorylation of pyrimidine nucleoside monophosphates at the expense of ATP. Plays an important role in de novo pyrimidine nucleotide biosynthesis. Has preference for UMP and CMP as phosphate acceptors
Ssiderea267763	acetyl-CoA
Ssiderea243360	Rho guanine nucleotide exchange factor
Ssiderea270663	-
Ssiderea249480	enzyme binding
Ssiderea266334	kiaa0825
Ssiderea230001	peptidase inhibitor activity
Ssiderea259474	procollagen-lysine 5-dioxygenase activity
Ssiderea266277	protein phosphatase 1, regulatory subunit
Ssiderea260806	Belongs to the cyclin family
Ssiderea168108	GTPase activity
Ssiderea246160	-
Ssiderea471847	Domain in meprin, A5, receptor protein tyrosine phosphatase mu (and others)
Ssiderea261691	WD40 repeats
Ssiderea266160	phosphodiesterase I activity
Ssiderea235830	K02A2.6-like
Ssiderea242978	zinc finger, RAN-binding domain containing
Ssiderea264094	ribosomal RNA processing
Ssiderea240817	asparaginase activity
Ssiderea263430	phospholipase
Ssiderea242182	retrograde transport, plasma membrane to Golgi
Ssiderea263394	structural constituent of ribosome
Ssiderea221319	fibroblast growth factor-activated receptor activity
Ssiderea253699	cellular response to reactive oxygen species
Ssiderea566593	obsolete transcription factor activity, core RNA polymerase II binding
Ssiderea234012	GTPase activator activity
Ssiderea267550	CH-like domain in sperm protein
Ssiderea246769	protein ubiquitination
Ssiderea175305	translation elongation factor activity
Ssiderea259309	Transforming protein RhoA-like
Ssiderea245663	-
Ssiderea228433	Transmembrane protein 5
Ssiderea268226	Tetratricopeptide repeat domain 28
Ssiderea245810	structural molecule activity
Ssiderea247715	29 kDa ribonucleoprotein
Ssiderea227412	FAD binding domain
Ssiderea256000	Carnitine O-palmitoyltransferase 1, liver isoform
Ssiderea237649	rRNA primary transcript binding
Ssiderea264989	Formin Homology 2 Domain
Ssiderea258707	spindle assembly
Ssiderea237806	Animal haem peroxidase
Ssiderea227243	receptor localization to synapse
Ssiderea443045	calcium ion binding
Ssiderea269640	T cell proliferation involved in immune response
Ssiderea247427	Histidine phosphatase superfamily (branch 2)
Ssiderea248837	ubiquitin-specific protease activity involved in negative regulation of retrograde protein transport, ER to cytosol
Ssiderea271986	dehydrogenase reductase family 42E member 1
Ssiderea239925	inositol-1,3,4-trisphosphate 6-kinase activity
Ssiderea265194	receptor-mediated endocytosis
Ssiderea227032	Nuclear pore glycoprotein
Ssiderea269136	chromatin remodeling
Ssiderea233651	DegT/DnrJ/EryC1/StrS aminotransferase family
Ssiderea226524	kelch-like
Ssiderea108231	BTB/POZ domain
Ssiderea266384	positive regulation of protein autoubiquitination
Ssiderea221210	dendritic cell proliferation
Ssiderea247609	spliceosomal complex assembly
Ssiderea236066	MICAL-like
Ssiderea266344	VWA N-terminal
Ssiderea140714	Serine threonine-protein phosphatase
Ssiderea257158	Cadherin repeats.
Ssiderea239475	testis expressed 261
Ssiderea246771	Loss of heterozygosity, 12, chromosomal region 1
Ssiderea305340	ribosomal protein
Ssiderea261170	positive regulation of abscisic acid-activated signaling pathway
Ssiderea264794	Cactin, spliceosome C complex subunit
Ssiderea252748	actin filament severing
Ssiderea258583	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Ssiderea211212	Belongs to the peptidase S1 family
Ssiderea252118	Rab interacting lysosomal protein-like 1
Ssiderea232894	Belongs to the helicase family. Dicer subfamily
Ssiderea410539	Ankyrin repeats (3 copies)
Ssiderea257622	All-trans retinoic acid-induced differentiation factor
Ssiderea247320	1-acylglycerol-3-phosphate O-acyltransferase 5
Ssiderea349375	frizzled binding
Ssiderea248308	cytochrome P450
Ssiderea254599	Extracellular calcium-sensing receptor-like
Ssiderea222347	Olfactomedin 1
Ssiderea396835	It is involved in the biological process described with DNA metabolic process
Ssiderea259896	cobalamin metabolic process
Ssiderea260682	translation initiation factor activity
Ssiderea243253	DNA polymerase theta
Ssiderea249361	RING-like zinc finger
Ssiderea265955	protein processing
Ssiderea259686	protein-L-isoaspartate (D-aspartate) O-methyltransferase activity. It is involved in the biological process described with cellular protein modification process
Ssiderea262526	Tubulin tyrosine ligase-like family, member 10
Ssiderea255043	Solute carrier family 37
Ssiderea247181	organic anion transmembrane transporter activity
Ssiderea262841	Cupin-like domain
Ssiderea223218	cytoplasmic dynein 2 heavy chain
Ssiderea247812	Zinc finger protein 511
Ssiderea271598	ATP-binding cassette, sub-family C (CFTR MRP), member 4
Ssiderea257446	alpha-L-fucosidase activity
Ssiderea265814	Serrate RNA effector molecule
Ssiderea254562	Nucleotide-sugar transporter
Ssiderea258440	Belongs to the eukaryotic ribosomal protein eL36 family
Ssiderea199604	Common central domain of tyrosinase
Ssiderea232585	activation of NF-kappaB-inducing kinase activity
Ssiderea255149	sulfuric ester hydrolase activity
Ssiderea227170	Belongs to the CD36 family
Ssiderea266909	ribonuclease T2 activity
Ssiderea234788	protein KIAA0930 homolog
Ssiderea233831	ATP:guanido phosphotransferase, N-terminal domain
Ssiderea267911	acireductone dioxygenase [iron(II)-requiring] activity
Ssiderea255633	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Ssiderea216988	N,N-dimethylaniline monooxygenase activity
Ssiderea265350	K02A2.6-like
Ssiderea257062	protein monoubiquitination
Ssiderea218218	Collagen triple helix
Ssiderea264146	scavenger receptor activity
Ssiderea243519	ATP-dependent RNA helicase
Ssiderea270409	Hydroxymethylbilane synthase
Ssiderea267052	Bicaudal C homolog
Ssiderea231952	transforming growth factor beta receptor signaling pathway
Ssiderea269142	dolichyl-phosphate-mannose-protein mannosyltransferase activity
Ssiderea262030	Homer protein homolog
Ssiderea247317	DNA replication
Ssiderea452446	Protein similar to CwfJ C-terminus 1
Ssiderea259008	Ctf8
Ssiderea270402	MAP kinase kinase kinase kinase activity
Ssiderea255062	N-acetylneuraminate lyase activity
Ssiderea202922	Sulfate transmembrane transporter activity. It is involved in the biological process described with sulfate transport
Ssiderea255320	oxidoreductase activity
Ssiderea271944	calcium ion binding
Ssiderea224399	dynein intermediate chain binding
Ssiderea230418	Reversible hydration of carbon dioxide
Ssiderea239282	Myocilin
Ssiderea214268	cytolysis by host of symbiont cells
Ssiderea247724	Carboxypeptidase
Ssiderea265224	glycosylceramidase activity
Ssiderea225658	gamma-aminobutyric acid:proton symporter activity
Ssiderea210660	metalloaminopeptidase activity
Ssiderea268817	GTPase activator activity
Ssiderea247054	BLOC-2 complex binding
Ssiderea316812	peptidyl-tryptophan modification
Ssiderea251296	MAM domain, meprin/A5/mu
Ssiderea264284	spindle assembly
Ssiderea241060	Retinoblastoma binding protein 4
Ssiderea267027	Peptidase M16 inactive domain
Ssiderea118522	ATP-binding cassette, sub-family C (CFTR MRP), member 3
Ssiderea219023	bisphosphoglycerate 3-phosphatase activity
Ssiderea236601	CD151 molecule (Raph blood group)
Ssiderea246339	Dynein assembly factor 1, axonemal homolog
Ssiderea267024	RNA binding
Ssiderea249907	GTPase-activator protein for Rho-like GTPases
Ssiderea260530	WD40 repeats
Ssiderea250473	regulation of mitotic cell cycle
Ssiderea259066	Essential component of the vacuolar proton pump (V- ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase
Ssiderea387878	RNA secondary structure unwinding
Ssiderea232753	Peptidase dimerisation domain
Ssiderea257804	mRNA binding
Ssiderea256864	Furin-like repeats
Ssiderea271293	serine transport
Ssiderea389160	Elongation factor
Ssiderea267905	Fatty acid desaturase
Ssiderea237068	L-lactate
Ssiderea219705	regulation of response to stimulus
Ssiderea223082	farnesylated protein binding
Ssiderea130263	negative regulation of glucokinase activity
Ssiderea269993	Sertoli cell development
Ssiderea220477	Si dkey-19e4.5
Ssiderea267304	protein tyrosine kinase collagen receptor activity
Ssiderea260124	protein deubiquitination
Ssiderea264772	negative regulation of bile acid biosynthetic process
Ssiderea236136	Zgc 162816
Ssiderea244357	ABC transporter B family member
Ssiderea268277	structural constituent of ribosome
Ssiderea215449	ribosome biogenesis
Ssiderea251909	Golgi to endosome transport
Ssiderea217737	Nardilysin
Ssiderea265155	prolyl-tRNA aminoacylation
Ssiderea250237	inorganic anion exchanger activity
Ssiderea21523	Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides
Ssiderea259295	traversing start control point of mitotic cell cycle
Ssiderea259455	Alpha-kinase family
Ssiderea269103	zinc ion binding
Ssiderea249666	Transferrins are iron binding transport proteins which bind Fe(3 ) ion in association with the binding of an anion, usually bicarbonate
Ssiderea242340	Beta-eliminating lyase
Ssiderea305081	calcium ion binding
Ssiderea234855	heat shock
Ssiderea238957	hydrolase activity, acting on ester bonds
Ssiderea252830	Dienelactone hydrolase family
Ssiderea195434	integrin binding
Ssiderea240148	nucleic acid-templated transcription
Ssiderea267685	ribosomal large subunit assembly
Ssiderea240724	alpha-1,4-glucosidase activity
Ssiderea259397	positive regulation of transforming growth factor beta1 production
Ssiderea268829	maturation of SSU-rRNA
Ssiderea236981	protein localization to pericentriolar material
Ssiderea228740	Protein rolling stone-like
Ssiderea270017	Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase TPTE2-like
Ssiderea261482	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea258484	ectonucleotide pyrophosphatase phosphodiesterase
Ssiderea232533	RING finger protein 115
Ssiderea254646	spectrin binding
Ssiderea271278	RNA splicing
Ssiderea253468	K02A2.6-like
Ssiderea254055	Zinc ion binding
Ssiderea265725	Cactin, spliceosome C complex subunit
Ssiderea244830	Etoposide-induced protein 2.4 homolog
Ssiderea255482	WD domain, G-beta repeat
Ssiderea265045	Belongs to the eukaryotic ribosomal protein P1 P2 family
Ssiderea253267	alpha1-adrenergic receptor activity
Ssiderea249325	phosphoacetylglucosamine mutase activity
Ssiderea267566	K02A2.6-like
Ssiderea244218	iron ion binding
Ssiderea265684	mesenchymal cell apoptotic process
Ssiderea264013	calcium ion binding
Ssiderea246203	kinase H1
Ssiderea243712	G-protein coupled receptor activity
Ssiderea235144	Zinc finger CCCH domain-containing protein 8
Ssiderea242220	CDK-activating kinase assembly factor
Ssiderea263280	heterogeneous nuclear ribonucleoprotein
Ssiderea267482	transporter activity
Ssiderea262864	endosomal transport
Ssiderea223030	DNA-binding transcription factor activity
Ssiderea257594	TNF receptor-associated factor
Ssiderea256680	NmrA-like family
Ssiderea247212	acetylcholine-gated cation-selective channel activity
Ssiderea255388	LIM domain kinase
Ssiderea260605	Tubulin tyrosine ligase-like family, member 10
Ssiderea227519	hydrolase activity
Ssiderea237789	Ribonuclease H protein
Ssiderea209044	Cartilage oligomeric matrix protein
Ssiderea269096	protein localization to phagophore assembly site
Ssiderea231111	autophagy of peroxisome
Ssiderea267404	lipoprotein receptor-related protein
Ssiderea264528	phosphoenolpyruvate carboxykinase activity
Ssiderea268880	ATPase activator activity
Ssiderea244631	microtubule motor activity
Ssiderea258802	Belongs to the arylamine N-acetyltransferase family
Ssiderea76135	Glycine-rich domain-containing protein-like
Ssiderea257782	negative regulation of mRNA splicing, via spliceosome
Ssiderea150232	involved in Zn homeostasis, GTPase of COG0523 family
Ssiderea232067	Domain of unknown function (DUF4149)
Ssiderea256260	coiled-coil domain-containing protein 108
Ssiderea180960	fibroblast growth factor-activated receptor activity
Ssiderea245127	oxidative stress-induced premature senescence
Ssiderea259210	Polymerase delta-interacting protein 2
Ssiderea229250	RAB30, member RAS oncogene family
Ssiderea223316	cilium assembly
Ssiderea236442	sequence-specific DNA binding
Ssiderea261705	NEDD8 activating enzyme activity
Ssiderea263590	pre-replicative complex assembly involved in nuclear cell cycle DNA replication
Ssiderea365188	-
Ssiderea268547	FAD-AMP lyase (cyclizing) activity
Ssiderea228186	NMDA glutamate receptor activity
Ssiderea131386	cysteine-type endopeptidase activity
Ssiderea251556	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Ssiderea360504	dynein light chain binding
Ssiderea164023	laminin subunit
Ssiderea203855	G-protein coupled receptor activity
Ssiderea263173	N-acetylphosphatidylethanolamine-hydrolysing phospholipas activity
