Siderastrea_08840	K02997
Siderastrea_10817	K08665
Siderastrea_08029	K03031
Siderastrea_02046	K16681
Siderastrea_17456	K24069
Siderastrea_05178	K02137
Siderastrea_11402	K19603
Siderastrea_13089	K14326
Siderastrea_17573	K01128
Siderastrea_14222	K17570
Siderastrea_04711	K07996
Siderastrea_07551	K10645
Siderastrea_02775	K06174
Siderastrea_01671	K20288
Siderastrea_08451	K01897
Siderastrea_16663	K02704
Siderastrea_00663	K08187
Siderastrea_18359	K16621
Siderastrea_17022	K12847
Siderastrea_16497	K16538
Siderastrea_10495	K10408
Siderastrea_03322	K12322
Siderastrea_07205	K02295
Siderastrea_03357	K09094
Siderastrea_03047	K18211
Siderastrea_10215	K08034
Siderastrea_08393	K05236
Siderastrea_06495	K16538
Siderastrea_12949	K23222
Siderastrea_12575	K12850
Siderastrea_18524	K11204
Siderastrea_10716	K24242
Siderastrea_16671	K04043
Siderastrea_00559	K05110
Siderastrea_05592	K12828
Siderastrea_16557	K15700
Siderastrea_11485	K06270
Siderastrea_05629	K14380
Siderastrea_17994	K03940
Siderastrea_08189	K24943
Siderastrea_08292	K19013
Siderastrea_15847	K20222
Siderastrea_15740	K00485
Siderastrea_06685	K07497
Siderastrea_03055	K01873
Siderastrea_10170	K22403
Siderastrea_15229	K12618
Siderastrea_11604	K23664
Siderastrea_14609	K06067
Siderastrea_13291	K08281
Siderastrea_12708	K18532
Siderastrea_11192	K03695
Siderastrea_15516	K15293
Siderastrea_18778	K10349
Siderastrea_06839	K15166
Siderastrea_11865	K03035
Siderastrea_13172	K00548
Siderastrea_09677	K20196
Siderastrea_10123	K04975
Siderastrea_06375	K12076
Siderastrea_13544	K04145
Siderastrea_10179	K05546
Siderastrea_03814	K12604
Siderastrea_09665	K24464
Siderastrea_12932	K13291
Siderastrea_02345	K26216
Siderastrea_19180	K10597
Siderastrea_13598	K24886
Siderastrea_15148	K02105
Siderastrea_13822	K04505
Siderastrea_00553	K04533
Siderastrea_05270	K14327
Siderastrea_18530	K05869
Siderastrea_14086	K21278
Siderastrea_18084	K07380
Siderastrea_03512	K01672
Siderastrea_04715	K24936
Siderastrea_12939	K18663
Siderastrea_08636	K01509
Siderastrea_12371	K14676
Siderastrea_01396	K03869
Siderastrea_16729	K02910
Siderastrea_07310	K11840
Siderastrea_13211	K05641
Siderastrea_17745	K13667
Siderastrea_09843	K13354
Siderastrea_01660	K20704
Siderastrea_01134	K24512
Siderastrea_15413	K08052
Siderastrea_17429	K03030
Siderastrea_09233	K10408
Siderastrea_09519	K25762
Siderastrea_07535	K19899
Siderastrea_14280	K20369
Siderastrea_07202	K10408
Siderastrea_09467	K00164
Siderastrea_00176	K19922
Siderastrea_04652	K10667
Siderastrea_14066	K00311
Siderastrea_15692	K03263
Siderastrea_15965	K03138
Siderastrea_18217	K16457
Siderastrea_15149	K08799
Siderastrea_09182	K11450
Siderastrea_07367	K12864
Siderastrea_15786	K10408
Siderastrea_18833	K07497
Siderastrea_16854	K19511
Siderastrea_16778	K18465
Siderastrea_16565	K10414
Siderastrea_02651	K25439
Siderastrea_03790	K17541
Siderastrea_08991	K08793
Siderastrea_13557	K10408
Siderastrea_03029	K18261
Siderastrea_18500	K02183
Siderastrea_15180	K12856
Siderastrea_05456	K03424
Siderastrea_00981	K00804
Siderastrea_10677	K14429
Siderastrea_04968	K15381
Siderastrea_00305	K17512
Siderastrea_00821	K20198
Siderastrea_08490	K01958
Siderastrea_06141	K20629
Siderastrea_08136	K23600
Siderastrea_10325	K14402
Siderastrea_06895	K03902
Siderastrea_02760	K12854
Siderastrea_19035	K01326
Siderastrea_17227	K26167
Siderastrea_17452	K04978
Siderastrea_00607	K13708
Siderastrea_08497	K09292
Siderastrea_14980	K17339
Siderastrea_11858	K04852
Siderastrea_16827	K10408
Siderastrea_03149	K17570
Siderastrea_07571	K00544
Siderastrea_10273	K16582
Siderastrea_15866	K11757
Siderastrea_05000	K21847
Siderastrea_05732	K10408
Siderastrea_02602	K01638
Siderastrea_07893	K01886
Siderastrea_16254	K14620
Siderastrea_15995	K14848
Siderastrea_18931	K24739
Siderastrea_06362	K17285
Siderastrea_11578	K06642
Siderastrea_05982	K05610
Siderastrea_07097	K14299
Siderastrea_01773	K07767
Siderastrea_01417	K24734
Siderastrea_05583	K10408
Siderastrea_06915	K17495
Siderastrea_02060	K00290
Siderastrea_12676	K03522
Siderastrea_06757	K11718
Siderastrea_07033	K04530
Siderastrea_10567	K24675
Siderastrea_13029	K18401
Siderastrea_06369	K06252
Siderastrea_05476	K10643
Siderastrea_03434	K10408
Siderastrea_14772	K15015
Siderastrea_00282	K09322
Siderastrea_09700	K06631
Siderastrea_05525	K04431
Siderastrea_04981	K02876
Siderastrea_05541	K00939
Siderastrea_17750	K11649
Siderastrea_17002	K20858
Siderastrea_12963	K25392
Siderastrea_01400	K18200
Siderastrea_16422	K04362
Siderastrea_19077	K01672
Siderastrea_08970	K12655
Siderastrea_11035	K10356
Siderastrea_08830	K10408
Siderastrea_15817	K05034
Siderastrea_17700	K03754
Siderastrea_07449	K05768
Siderastrea_09697	K24553
Siderastrea_01594	K09304
Siderastrea_01267	K25409
Siderastrea_00947	K24354
Siderastrea_15278	K13217
Siderastrea_01214	K25537
Siderastrea_07471	K01805
Siderastrea_10149	K24800
Siderastrea_13467	K05609
Siderastrea_09628	K00714
Siderastrea_00645	K00059
Siderastrea_04831	K15121
Siderastrea_04205	K05658
Siderastrea_17590	K14959
Siderastrea_10838	K03798
Siderastrea_05781	K18084
Siderastrea_17811	K06711
Siderastrea_16941	K09499
Siderastrea_03466	K22207
Siderastrea_12276	K04615
Siderastrea_05007	K02896
Siderastrea_13558	K09641
Siderastrea_12536	K09216
Siderastrea_16880	K04874
Siderastrea_07805	K10260
Siderastrea_16225	K24841
Siderastrea_15535	K01712
Siderastrea_10570	K00933
Siderastrea_13238	K21396
Siderastrea_02015	K05665
Siderastrea_06160	K04986
Siderastrea_11240	K08775
Siderastrea_18959	K20401
Siderastrea_07738	K09486
Siderastrea_19215	K06130
Siderastrea_15387	K15370
Siderastrea_01000	K11837
Siderastrea_11103	K18032
Siderastrea_13528	K01205
Siderastrea_12810	K01285
Siderastrea_01191	K03011
Siderastrea_07712	K10593
Siderastrea_01999	K15053
Siderastrea_06995	K01893
Siderastrea_04932	K25460
Siderastrea_00400	K03456
Siderastrea_18535	K12233
Siderastrea_11685	K10408
Siderastrea_05160	K06272
Siderastrea_09456	K00542
Siderastrea_06741	K08844
Siderastrea_10896	K00665
Siderastrea_04584	K20476
Siderastrea_10005	K10260
Siderastrea_05316	K24469
Siderastrea_05932	K15837
Siderastrea_02146	K06271
Siderastrea_00654	K19511
Siderastrea_06940	K04986
Siderastrea_07953	K10380
Siderastrea_10461	K09067
Siderastrea_16547	K08545
Siderastrea_08410	K12830
Siderastrea_09131	K01897
Siderastrea_00333	K21440
Siderastrea_07289	K17285
Siderastrea_14950	K12854
Siderastrea_18402	K11857
Siderastrea_08828	K08076
Siderastrea_00782	K23794
Siderastrea_07792	K07497
Siderastrea_11113	K17592
Siderastrea_02909	K16064
Siderastrea_01708	K05330
Siderastrea_14396	K12856
Siderastrea_11163	K00235
Siderastrea_09832	K05220
Siderastrea_15242	K19983
Siderastrea_10247	K12855
Siderastrea_01912	K04707
Siderastrea_11079	K18041
Siderastrea_07152	K10302
Siderastrea_09983	K03935
Siderastrea_11011	K05691
Siderastrea_16643	K00088
Siderastrea_04941	K00232
Siderastrea_02976	K03255
Siderastrea_10196	K14007
Siderastrea_11995	K03021
Siderastrea_16878	K10418
Siderastrea_18222	K19907
Siderastrea_02672	K25552
Siderastrea_07413	K16307
Siderastrea_10628	K06530
Siderastrea_00015	K11163
Siderastrea_01177	K22804
Siderastrea_04875	K00232
Siderastrea_02880	K18081
Siderastrea_00072	K08818
Siderastrea_18739	K14326
Siderastrea_02352	K02903
Siderastrea_10503	K10408
Siderastrea_02236	K01950
Siderastrea_03661	K00901
Siderastrea_02547	K03174
Siderastrea_16650	K09372
Siderastrea_05608	K11886
Siderastrea_01985	K21772
Siderastrea_09918	K11728
Siderastrea_08708	K12828
Siderastrea_18388	K07834
Siderastrea_16072	K25762
Siderastrea_17568	K00731
Siderastrea_04050	K05034
Siderastrea_11631	K15172
Siderastrea_17374	K23691
Siderastrea_13485	K11262
Siderastrea_16900	K14085
Siderastrea_10240	K10297
Siderastrea_00727	K01183
Siderastrea_04110	K03130
Siderastrea_17601	K12163
Siderastrea_19115	K17972
Siderastrea_18230	K10274
Siderastrea_07065	K11665
Siderastrea_10988	K02689
Siderastrea_06248	K10626
Siderastrea_15315	K04153
Siderastrea_18714	K09214
Siderastrea_15482	K07515
Siderastrea_07390	K15381
Siderastrea_12640	K03869
Siderastrea_08540	K19760
Siderastrea_17158	K11981
Siderastrea_14751	K22754
Siderastrea_17911	K14437
Siderastrea_05600	K04438
Siderastrea_16692	K17800
Siderastrea_00463	K16770
Siderastrea_07997	K03707
Siderastrea_02283	K14006
Siderastrea_00735	K18082
Siderastrea_18867	K25806
Siderastrea_04866	K11802
Siderastrea_19238	K17849
Siderastrea_17290	K04615
Siderastrea_09161	K09057
Siderastrea_10929	K23879
Siderastrea_17420	K22747
Siderastrea_06031	K15538
Siderastrea_14465	K13092
Siderastrea_14308	K12309
Siderastrea_06987	K08810
Siderastrea_05101	K01530
Siderastrea_00766	K20367
Siderastrea_07928	K19511
Siderastrea_08654	K04405
Siderastrea_17166	K10408
Siderastrea_03004	K16726
Siderastrea_13322	K24431
Siderastrea_13842	K11974
Siderastrea_13583	K14073
Siderastrea_17040	K02354
Siderastrea_11845	K07497
Siderastrea_12747	K01116
Siderastrea_19165	K24175
Siderastrea_01027	K03654
Siderastrea_09869	K14079
Siderastrea_06003	K01737
Siderastrea_03918	K10422
Siderastrea_08827	K19499
Siderastrea_06403	K15156
Siderastrea_15902	K16194
Siderastrea_11518	K11150
Siderastrea_14037	K13218
Siderastrea_15177	K11252
Siderastrea_06481	K12598
Siderastrea_07628	K00831
Siderastrea_15064	K04506
Siderastrea_05281	K14842
Siderastrea_05088	K22862
Siderastrea_14651	K01338
Siderastrea_02208	K06888
Siderastrea_13996	K05094
Siderastrea_03419	K01956
Siderastrea_15100	K19511
Siderastrea_06346	K17583
Siderastrea_08647	K01835
Siderastrea_00977	K06184
Siderastrea_03284	K17341
Siderastrea_15563	K16477
Siderastrea_11917	K08568
Siderastrea_13833	K23114
Siderastrea_04556	K09353
Siderastrea_00902	K18026
Siderastrea_09397	K05220
Siderastrea_04285	K10260
Siderastrea_09754	K07756
Siderastrea_12157	K12176
Siderastrea_02860	K09228
Siderastrea_14553	K06642
Siderastrea_01805	K06669
Siderastrea_10945	K00012
Siderastrea_14478	K11446
Siderastrea_04042	K21989
Siderastrea_01630	K01889
Siderastrea_12647	K01581
Siderastrea_10331	K11594
Siderastrea_14832	K10408
Siderastrea_00513	K22266
Siderastrea_11936	K15303
Siderastrea_16376	K21952
Siderastrea_13427	K01116
Siderastrea_18304	K13116
Siderastrea_08781	K08292
Siderastrea_04456	K03654
Siderastrea_03243	K20294
Siderastrea_12398	K07190
Siderastrea_11461	K09487
Siderastrea_11709	K24104
Siderastrea_12035	K02140
Siderastrea_10983	K01291
Siderastrea_07858	K00907
Siderastrea_16291	K11687
Siderastrea_17650	K07203
Siderastrea_00482	K11802
Siderastrea_04638	K01464
Siderastrea_13606	K02374
Siderastrea_07185	K06240
Siderastrea_01856	K01939
Siderastrea_13710	K03015
Siderastrea_05722	K14676
Siderastrea_12495	K10357
Siderastrea_07198	K07497
Siderastrea_04196	K10645
Siderastrea_14210	K08202
Siderastrea_18149	K18342
Siderastrea_16933	K12323
Siderastrea_08463	K08873
Siderastrea_02947	K05850
Siderastrea_15699	K10408
Siderastrea_03784	K07497
Siderastrea_09801	K07752
Siderastrea_16471	K06942
Siderastrea_00059	K17512
Siderastrea_04117	K08729
Siderastrea_09688	K03364
Siderastrea_16377	K05293
Siderastrea_14047	K03173
Siderastrea_17874	K02730
Siderastrea_15408	K10380
Siderastrea_00672	K09228
Siderastrea_11785	K10478
Siderastrea_03969	K06114
Siderastrea_14236	K07739
Siderastrea_02738	K01049
Siderastrea_15824	K09373
Siderastrea_03227	K11584
Siderastrea_17665	K01135
Siderastrea_13245	K10408
Siderastrea_10417	K16578
Siderastrea_08269	K08860
Siderastrea_09489	K25866
Siderastrea_14720	K15174
Siderastrea_19268	K04677
Siderastrea_06293	K12614
Siderastrea_00373	K12815
Siderastrea_16358	K11086
Siderastrea_15086	K10738
Siderastrea_15473	K00901
Siderastrea_04066	K11446
Siderastrea_13503	K18038
Siderastrea_13652	K10779
Siderastrea_17426	K10345
Siderastrea_06021	K09206
Siderastrea_08957	K25609
Siderastrea_01917	K13171
Siderastrea_10401	K06530
Siderastrea_11288	K25720
Siderastrea_08108	K00411
Siderastrea_02586	K05695
Siderastrea_19098	K10582
Siderastrea_18197	K13184
Siderastrea_04736	K08187
Siderastrea_03645	K07380
Siderastrea_05253	K17260
Siderastrea_02264	K01316
Siderastrea_11429	K12604
Siderastrea_17367	K07901
Siderastrea_18263	K12559
Siderastrea_03194	K09633
Siderastrea_02025	K18438
Siderastrea_09565	K08730
Siderastrea_18624	K04136
Siderastrea_15267	K01251
Siderastrea_07606	K10408
Siderastrea_08144	K17083
Siderastrea_16526	K01349
Siderastrea_01607	K01952
Siderastrea_00098	K06704
Siderastrea_10236	K01375
Siderastrea_14656	K12486
Siderastrea_14411	K00344
Siderastrea_16623	K14440
Siderastrea_18096	K06114
Siderastrea_02323	K05542
Siderastrea_07543	K25554
Siderastrea_12152	K15152
Siderastrea_04630	K07497
Siderastrea_05198	K11430
Siderastrea_18749	K04412
Siderastrea_07674	K22068
Siderastrea_02936	K18166
Siderastrea_09089	K10465
Siderastrea_17766	K02980
Siderastrea_14078	K00232
Siderastrea_06593	K17834
Siderastrea_02914	K07497
Siderastrea_07889	K14786
Siderastrea_11247	K24891
Siderastrea_01834	K01338
Siderastrea_00321	K05673
Siderastrea_05868	K16506
Siderastrea_13641	K18274
Siderastrea_04169	K02599
Siderastrea_13052	K25615
Siderastrea_18885	K07914
Siderastrea_04513	K10595
Siderastrea_12301	K11807
Siderastrea_04671	K17605
Siderastrea_01004	K19685
Siderastrea_02945	K10596
Siderastrea_11262	K00364
Siderastrea_12884	K11373
Siderastrea_13418	K04362
Siderastrea_01786	K11094
Siderastrea_00256	K15521
Siderastrea_06133	K04527
Siderastrea_12567	K10277
Siderastrea_06870	K16726
Siderastrea_03952	K03106
Siderastrea_10813	K11540
Siderastrea_08472	K18592
Siderastrea_12667	K04416
Siderastrea_10079	K25359
Siderastrea_13639	K18592
Siderastrea_17488	K09582
Siderastrea_08689	K22285
Siderastrea_02595	K03929
Siderastrea_03353	K04043
Siderastrea_15031	K09490
Siderastrea_09212	K20164
Siderastrea_03412	K06255
Siderastrea_12779	K20520
Siderastrea_08071	K14327
Siderastrea_16076	K17592
Siderastrea_06600	K10169
Siderastrea_14892	K09613
Siderastrea_04841	K16729
Siderastrea_15940	K06215
Siderastrea_08247	K04780
Siderastrea_14485	K06129
Siderastrea_16555	K10628
Siderastrea_17604	K18643
Siderastrea_01781	K09595
Siderastrea_03128	K12668
Siderastrea_06161	K06114
Siderastrea_17904	K07497
Siderastrea_06770	K23488
Siderastrea_11834	K12584
Siderastrea_09663	K10408
Siderastrea_04570	K02168
Siderastrea_08664	K05648
Siderastrea_08680	K17592
Siderastrea_00754	K24338
Siderastrea_08880	K20407
Siderastrea_05183	K11997
Siderastrea_15671	K10408
Siderastrea_08896	K24888
Siderastrea_12308	K18592
Siderastrea_12077	K17849
Siderastrea_01573	K20629
Siderastrea_03335	K10593
Siderastrea_05294	K06234
Siderastrea_09219	K06271
Siderastrea_06491	K18050
Siderastrea_14599	K07418
Siderastrea_15933	K06115
Siderastrea_16037	K14708
Siderastrea_12941	K12494
Siderastrea_11827	K20404
Siderastrea_09039	K14388
Siderastrea_12271	K14301
Siderastrea_14225	K12432
Siderastrea_19184	K10408
Siderastrea_08006	K04969
Siderastrea_15144	K14831
Siderastrea_17136	K24962
Siderastrea_10362	K17201
Siderastrea_16807	K12852
Siderastrea_09864	K24964
Siderastrea_00808	K10408
Siderastrea_07967	K17823
Siderastrea_03326	K01869
Siderastrea_00792	K22754
Siderastrea_02260	K11292
Siderastrea_11063	K23902
Siderastrea_16326	K13718
Siderastrea_12478	K04911
Siderastrea_02552	K07376
Siderastrea_14226	K16550
Siderastrea_10085	K10408
Siderastrea_17773	K12872
Siderastrea_04031	K10523
Siderastrea_16492	K05736
Siderastrea_04598	K06238
Siderastrea_15746	K05695
Siderastrea_02541	K24155
Siderastrea_09476	K10642
Siderastrea_17845	K23901
Siderastrea_07029	K11699
Siderastrea_09274	K06185
Siderastrea_17407	K05122
Siderastrea_09551	K09402
Siderastrea_14177	K16197
Siderastrea_07736	K24464
Siderastrea_16151	K25440
Siderastrea_07209	K00615
Siderastrea_02968	K08873
Siderastrea_13728	K04345
Siderastrea_08350	K05673
Siderastrea_04821	K10390
Siderastrea_16850	K20051
Siderastrea_18428	K11323
Siderastrea_11959	K04560
Siderastrea_14474	K23343
Siderastrea_18680	K19730
Siderastrea_06394	K18435
Siderastrea_16750	K08660
Siderastrea_02325	K06052
Siderastrea_00097	K03174
Siderastrea_17597	K07203
Siderastrea_06869	K03002
Siderastrea_03036	K10583
Siderastrea_09401	K20101
Siderastrea_16757	K13203
Siderastrea_14361	K24927
Siderastrea_04118	K02267
Siderastrea_03383	K18398
Siderastrea_06664	K16939
Siderastrea_16874	K08675
Siderastrea_02646	K07380
Siderastrea_11952	K04441
Siderastrea_11500	K03106
Siderastrea_03040	K16474
Siderastrea_15369	K05665
Siderastrea_15721	K23919
Siderastrea_10347	K15129
Siderastrea_16148	K00207
Siderastrea_11509	K05636
Siderastrea_02394	K20792
Siderastrea_08072	K06278
Siderastrea_08717	K17598
Siderastrea_00681	K08239
Siderastrea_02076	K15255
Siderastrea_12298	K20069
Siderastrea_13028	K11252
Siderastrea_10756	K07497
Siderastrea_15510	K08574
Siderastrea_04628	K25004
Siderastrea_16819	K09370
Siderastrea_09768	K04981
Siderastrea_14016	K12169
Siderastrea_08304	K12655
Siderastrea_05131	K24674
Siderastrea_12979	K07968
Siderastrea_11383	K13867
Siderastrea_02172	K02374
Siderastrea_04406	K01025
Siderastrea_08823	K12829
Siderastrea_07575	K09488
Siderastrea_16948	K13010
Siderastrea_02608	K07943
Siderastrea_10843	K13763
Siderastrea_07631	K00910
Siderastrea_02404	K00939
Siderastrea_05988	K04988
Siderastrea_17192	K07203
Siderastrea_05015	K09497
Siderastrea_03982	K10408
Siderastrea_17173	K01915
Siderastrea_17981	K07203
Siderastrea_16899	K03654
Siderastrea_13516	K13800
Siderastrea_10595	K18629
Siderastrea_18038	K06636
Siderastrea_16670	K20305
Siderastrea_05687	K17751
Siderastrea_14691	K07497
Siderastrea_04371	K06240
Siderastrea_12948	K07561
Siderastrea_02979	K24195
Siderastrea_16045	K13647
Siderastrea_13895	K11308
Siderastrea_03215	K11092
Siderastrea_12425	K01349
Siderastrea_10099	K11323
Siderastrea_12420	K04487
Siderastrea_06605	K19491
Siderastrea_12550	K25168
Siderastrea_18765	K13110
Siderastrea_04938	K24498
Siderastrea_07093	K22262
Siderastrea_03155	K03678
Siderastrea_12879	K02564
Siderastrea_17843	K08049
Siderastrea_17287	K24687
Siderastrea_15336	K08770
Siderastrea_11257	K14716
Siderastrea_01486	K11338
Siderastrea_16798	K07877
Siderastrea_09992	K03023
Siderastrea_04605	K20224
Siderastrea_18659	K00799
Siderastrea_00843	K11158
Siderastrea_16803	K24936
Siderastrea_10765	K14686
Siderastrea_03457	K17307
Siderastrea_11873	K22262
Siderastrea_00868	K23664
Siderastrea_11340	K19499
Siderastrea_06611	K25817
Siderastrea_10517	K01379
Siderastrea_04537	K12310
Siderastrea_08531	K08776
Siderastrea_16824	K13988
Siderastrea_16784	K05810
Siderastrea_07077	K10408
Siderastrea_04532	K10172
Siderastrea_14660	K22285
Siderastrea_08620	K08622
Siderastrea_01320	K03250
Siderastrea_03220	K01950
Siderastrea_08596	K03233
Siderastrea_01742	K08732
Siderastrea_04781	K08737
Siderastrea_14409	K17478
Siderastrea_07147	K24728
Siderastrea_03557	K00574
Siderastrea_11596	K23380
Siderastrea_10585	K07359
Siderastrea_16411	K15112
Siderastrea_07341	K07765
Siderastrea_18246	K22125
Siderastrea_01598	K23286
Siderastrea_08721	K00343
Siderastrea_18669	K07497
Siderastrea_11148	K02926
Siderastrea_06505	K04854
Siderastrea_04124	K05725
Siderastrea_05506	K10771
Siderastrea_12031	K00415
Siderastrea_13620	K23234
Siderastrea_05514	K06252
Siderastrea_16201	K01814
Siderastrea_13615	K01197
Siderastrea_05878	K00232
Siderastrea_07383	K15593
Siderastrea_00067	K18622
Siderastrea_11082	K11796
Siderastrea_03568	K04223
Siderastrea_00832	K06114
Siderastrea_10314	K01204
Siderastrea_11296	K13302
Siderastrea_16813	K10408
Siderastrea_02310	K04393
Siderastrea_08217	K24936
Siderastrea_13627	K11831
Siderastrea_18616	K18729
Siderastrea_11275	K10370
Siderastrea_13799	K13871
Siderastrea_08598	K10408
Siderastrea_12854	K20123
Siderastrea_10938	K05051
Siderastrea_11325	K00927
Siderastrea_14385	K15290
Siderastrea_05854	K00699
Siderastrea_10613	K04353
Siderastrea_15461	K10596
Siderastrea_08200	K10478
Siderastrea_03909	K04892
Siderastrea_03540	K19676
Siderastrea_11692	K08150
Siderastrea_01923	K03260
Siderastrea_07100	K00665
Siderastrea_07114	K06103
Siderastrea_09574	K01562
Siderastrea_11668	K23961
Siderastrea_09600	K23612
Siderastrea_08034	K05038
Siderastrea_11425	K24908
Siderastrea_17106	K09420
Siderastrea_11912	K01601
Siderastrea_04952	K15502
Siderastrea_13302	K00699
Siderastrea_08043	K15631
Siderastrea_04888	K08239
Siderastrea_04664	K14950
Siderastrea_05617	K24509
Siderastrea_17962	K12757
Siderastrea_12195	K08857
Siderastrea_18716	K18442
Siderastrea_10972	K10380
Siderastrea_16490	K02146
Siderastrea_00863	K09613
Siderastrea_07695	K19001
Siderastrea_16544	K08867
Siderastrea_06517	K03691
Siderastrea_12439	K17686
Siderastrea_03495	K11644
Siderastrea_06051	K09848
Siderastrea_00649	K04346
Siderastrea_17026	K14437
Siderastrea_11195	K10408
Siderastrea_01818	K03386
Siderastrea_16245	K24814
Siderastrea_15935	K09404
Siderastrea_08538	K12837
Siderastrea_09315	K01469
Siderastrea_19136	K03349
Siderastrea_11515	K04043
Siderastrea_06244	K13240
Siderastrea_06257	K19176
Siderastrea_04380	K18488
Siderastrea_16873	K15177
Siderastrea_02147	K24050
Siderastrea_04076	K20045
Siderastrea_15231	K17783
Siderastrea_15882	K23222
Siderastrea_10182	K01262
Siderastrea_14267	K05691
Siderastrea_13519	K06067
Siderastrea_03530	K06271
Siderastrea_18980	K11980
Siderastrea_15429	K10454
Siderastrea_00341	K11140
Siderastrea_09647	K08738
Siderastrea_05283	K19874
Siderastrea_02364	K00515
Siderastrea_00597	K20296
Siderastrea_06930	K20103
Siderastrea_03933	K00033
Siderastrea_09097	K13886
Siderastrea_09490	K12666
Siderastrea_05941	K03686
Siderastrea_10138	K12830
Siderastrea_15358	K13516
Siderastrea_09609	K17350
Siderastrea_11466	K10691
Siderastrea_14393	K06095
Siderastrea_06239	K08546
Siderastrea_00106	K17087
Siderastrea_03705	K18442
Siderastrea_17643	K16780
Siderastrea_02582	K05673
Siderastrea_11117	K05695
Siderastrea_05200	K11718
Siderastrea_10800	K07962
Siderastrea_10383	K09493
Siderastrea_06809	K11654
Siderastrea_17865	K22937
Siderastrea_14023	K20195
Siderastrea_12749	K02975
Siderastrea_09929	K08810
Siderastrea_07715	K17495
Siderastrea_17220	K15015
Siderastrea_14163	K02272
Siderastrea_14168	K15377
Siderastrea_12681	K09499
Siderastrea_06038	K01103
Siderastrea_14590	K09580
Siderastrea_08736	K16749
Siderastrea_07833	K17591
Siderastrea_08695	K23222
Siderastrea_00817	K04967
Siderastrea_04924	K24936
Siderastrea_15971	K08489
Siderastrea_11622	K09349
Siderastrea_10968	K05858
Siderastrea_01074	K23741
Siderastrea_04472	K03349
Siderastrea_12416	K03877
Siderastrea_03070	K24260
Siderastrea_08692	K00289
Siderastrea_13966	K00315
Siderastrea_02517	K19765
Siderastrea_11491	K19832
Siderastrea_15947	K24822
Siderastrea_13788	K02211
Siderastrea_01957	K00016
Siderastrea_00222	K06754
Siderastrea_13408	K08624
Siderastrea_05746	K10577
Siderastrea_02226	K16600
Siderastrea_05995	K25731
Siderastrea_05274	K14677
Siderastrea_05764	K23113
Siderastrea_11883	K15014
Siderastrea_10793	K09540
Siderastrea_09333	K16794
Siderastrea_02133	K14573
Siderastrea_12434	K18468
Siderastrea_12402	K00033
Siderastrea_12468	K05643
Siderastrea_02790	K16572
Siderastrea_12721	K15281
Siderastrea_08332	K09436
Siderastrea_15701	K13250
Siderastrea_02855	K05853
Siderastrea_00038	K10380
Siderastrea_17780	K04514
Siderastrea_14448	K20179
Siderastrea_03184	K12617
Siderastrea_00613	K14735
Siderastrea_18892	K01251
Siderastrea_18487	K06234
Siderastrea_02733	K04986
Siderastrea_14336	K00265
Siderastrea_17563	K10408
Siderastrea_05736	K24473
Siderastrea_02380	K05034
Siderastrea_14878	K07440
Siderastrea_09819	K09185
Siderastrea_17615	K23532
Siderastrea_15678	K19676
Siderastrea_00228	K10408
Siderastrea_06899	K24752
Siderastrea_18347	K10408
Siderastrea_15105	K14401
Siderastrea_04082	K14589
Siderastrea_11092	K17300
Siderastrea_10054	K00888
Siderastrea_05703	K04958
Siderastrea_17242	K11838
Siderastrea_13034	K16533
Siderastrea_04051	K10503
Siderastrea_01584	K00700
Siderastrea_11256	K14753
Siderastrea_17035	K18200
Siderastrea_06580	K07375
Siderastrea_04014	K19872
Siderastrea_17514	K04606
Siderastrea_01880	K00164
Siderastrea_18812	K18598
Siderastrea_06416	K19983
Siderastrea_06068	K15667
Siderastrea_07232	K11247
Siderastrea_12041	K06753
Siderastrea_01068	K07419
Siderastrea_10353	K17495
Siderastrea_04499	K05692
Siderastrea_13077	K08621
Siderastrea_17357	K09495
Siderastrea_16002	K09256
Siderastrea_12999	K03993
Siderastrea_08707	K12879
Siderastrea_05521	K01764
Siderastrea_07848	K10408
Siderastrea_03126	K10176
Siderastrea_02054	K01135
Siderastrea_03405	K12367
Siderastrea_12210	K14293
Siderastrea_13671	K17501
Siderastrea_09632	K24135
Siderastrea_00276	K22376
Siderastrea_00091	K00106
Siderastrea_15581	K08624
Siderastrea_10574	K15423
Siderastrea_06617	K18260
Siderastrea_03211	K14947
Siderastrea_04207	K24936
Siderastrea_16538	K22380
Siderastrea_01183	K11366
Siderastrea_15078	K10361
Siderastrea_19026	K09657
Siderastrea_01935	K13376
Siderastrea_10751	K19947
Siderastrea_07475	K24224
Siderastrea_05315	K04392
Siderastrea_10834	K25537
Siderastrea_03477	K13208
Siderastrea_10892	K22262
Siderastrea_14740	K09207
Siderastrea_01730	K17461
Siderastrea_07904	K12348
Siderastrea_10151	K11375
Siderastrea_14438	K13111
Siderastrea_07464	K07868
Siderastrea_14579	K24943
Siderastrea_11302	K22615
Siderastrea_15645	K10276
Siderastrea_13791	K02865
Siderastrea_11351	K18669
Siderastrea_03597	K01534
Siderastrea_15539	K10408
Siderastrea_17541	K25553
Siderastrea_00216	K08633
Siderastrea_15131	K07497
Siderastrea_05823	K15177
Siderastrea_04602	K15734
Siderastrea_02759	K07375
Siderastrea_00339	K07195
Siderastrea_08861	K10864
Siderastrea_00740	K02577
Siderastrea_02229	K22560
Siderastrea_17378	K23368
Siderastrea_15164	K23218
