Ssiderea256452	guanine/thymine mispair binding
Ssiderea257297	iduronate 2-sulfatase
Ssiderea258430	Phytanoyl-CoA dioxygenase (PhyH)
Ssiderea260801	K02A2.6-like
Ssiderea223262	serine-type endopeptidase activity
Ssiderea216436	Dynein heavy chain, N-terminal region 2
Ssiderea260710	Belongs to the aldehyde dehydrogenase family
Ssiderea113286	RNA binding protein
Ssiderea225875	Cathepsin Z
Ssiderea260657	1-alkylglycerophosphocholine O-acetyltransferase activity
Ssiderea250084	ankyrin repeat
Ssiderea262586	acetylesterase activity
Ssiderea255150	Domain of unknown function with conserved HDNR motif
Ssiderea245209	regulation of ARF protein signal transduction
Ssiderea254763	protein serine/threonine phosphatase activity
Ssiderea252129	Vacuolar protein sorting-associated protein 41 homolog
Ssiderea244592	Ankyrin repeat and SOCS box
Ssiderea249543	GTP binding. It is involved in the biological process described with
Ssiderea255250	DNA replication-independent nucleosome assembly
Ssiderea261423	thiamine pyrophosphate binding
Ssiderea261043	spermatogenesis-associated serine-rich protein 2
Ssiderea255685	ubiquitin protein ligase binding
Ssiderea260178	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea256942	Betaine--homocysteine S-methyltransferase 1
Ssiderea229947	G-protein coupled receptor activity
Ssiderea257126	translation initiation factor activity
Ssiderea252612	3',5'-cyclic-nucleotide phosphodiesterase activity
Ssiderea249157	Tetratricopeptide repeats
Ssiderea261583	Centriolin
Ssiderea261154	-
Ssiderea260190	GTP binding
Ssiderea261331	-
Ssiderea260001	Wiskott-Aldrich syndrome protein family member
Ssiderea236581	Histone H2B
Ssiderea234806	Belongs to the peptidase S1 family
Ssiderea406667	Elongation factor
Ssiderea253248	-
Ssiderea241204	mab-21-like
Ssiderea154968	mitochondrial electron transport, NADH to ubiquinone
Ssiderea251211	negative regulation of collateral sprouting in absence of injury
Ssiderea261028	Catalyzes the radical-mediated insertion of two sulfur atoms into the C-6 and C-8 positions of the octanoyl moiety bound to the lipoyl domains of lipoate-dependent enzymes, thereby converting the octanoylated domains into lipoylated derivatives
Ssiderea259246	proteasome regulatory particle assembly
Ssiderea251317	Dynactin subunit 2
Ssiderea253824	Golgi organization
Ssiderea258395	Phosphoserine phosphatase
Ssiderea257497	mitophagy by induced vacuole formation
Ssiderea263552	Sfi1 homolog
Ssiderea181712	mitochondrial transport
Ssiderea259162	such methylation being required for the assembly and biogenesis of snRNP core particles. Specifically mediates the symmetric dimethylation of histone H4 'Arg-3' to form H4R3me2s. Plays a role in gene imprinting by being recruited by CTCFL at the H19 imprinted control region (ICR) and methylating histone H4 to form H4R3me2s, possibly leading to recruit DNA methyltransferases at these sites. May also play a role in embryonic stem cell (ESC) pluripotency. Also able to mediate the arginine methylation of histone H2A and myelin basic protein (MBP) in vitro
Ssiderea170117	activity. It is involved in the biological process described with oxidation-reduction process
Ssiderea143740	Belongs to the ATP guanido phosphotransferase family
Ssiderea234791	Eukaryotic glutathione synthase
Ssiderea248445	ankyrin repeats
Ssiderea211952	Cell division cycle
Ssiderea241141	sulfuric ester hydrolase activity
Ssiderea242164	histone binding
Ssiderea237854	hydroxyisourate hydrolase activity
Ssiderea263778	K02A2.6-like
Ssiderea170767	smoothened signaling pathway involved in dorsal/ventral neural tube patterning
Ssiderea250017	Zinc finger, FYVE
Ssiderea253641	Transcriptional repressor protein YY1
Ssiderea233890	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea246029	CNDP dipeptidase 2 (metallopeptidase M20 family)
Ssiderea254388	hydrolase activity
Ssiderea152760	frizzled binding
Ssiderea244978	Ste20-related kinase
Ssiderea251646	Catalyzes the three sequential steps of the methylation pathway of phosphatidylcholine biosynthesis, the SAM-dependent methylation of phosphatidylethanolamine (PE) to phosphatidylmonomethylethanolamine (PMME), PMME to phosphatidyldimethylethanolamine (PDME), and PDME to phosphatidylcholine (PC)
Ssiderea251338	tRNA guanylyltransferase activity
Ssiderea243951	Putative ATP-dependent DNA helicase recG C-terminal
Ssiderea243402	Ribonuclease H protein
Ssiderea226157	Domain of unknown function (DUF4541)
Ssiderea201103	Tetratricopeptide repeat
Ssiderea259086	protein serine/threonine kinase activity
Ssiderea189535	acetylcholine-gated cation-selective channel activity
Ssiderea259262	histone acetyltransferase activity
Ssiderea225260	Converts guanidinoacetate to creatine, using S- adenosylmethionine as the methyl donor
Ssiderea258816	Chromosome 9 open reading frame 3
Ssiderea262086	L-glutamate import across plasma membrane
Ssiderea296536	pectin acetylesterase activity
Ssiderea248593	PYM homolog 1, exon junction complex associated factor
Ssiderea262375	monooxygenase activity
Ssiderea263381	N-acetyl-alpha-D-glucosaminyl L-malate synthase
Ssiderea253021	negative regulation of chemokine (C-C motif) ligand 5 production
Ssiderea260446	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea166910	embryo development ending in birth or egg hatching
Ssiderea348488	axonemal central apparatus assembly
Ssiderea206386	SUMO conjugating enzyme activity
Ssiderea263794	phosphatidylinositol glycan anchor biosynthesis, class K
Ssiderea261287	locomotory exploration behavior
Ssiderea255246	negative regulation of non-motile cilium assembly
Ssiderea260546	S-adenosylmethionine cycle
Ssiderea254420	homeobox
Ssiderea253936	protein side chain deglutamylation
Ssiderea258543	TLD
Ssiderea243506	HCLS1 binding protein 3
Ssiderea237912	Mycolic acid cyclopropane synthetase
Ssiderea253991	protein-hormone receptor activity
Ssiderea244496	inositol hexakisphosphate binding
Ssiderea255505	Polymerase delta-interacting protein 2
Ssiderea253526	MAP kinase kinase activity
Ssiderea258039	defective in cullin neddylation 1, domain containing 4
Ssiderea261879	positive regulation of histone deubiquitination
Ssiderea182120	negative regulation of mRNA splicing, via spliceosome
Ssiderea235331	regulator of G-protein signaling
Ssiderea258575	metal ion binding
Ssiderea251973	Vacuolar Protein
Ssiderea218840	Carboxylesterase family
Ssiderea257040	positive regulation of transcription elongation from RNA polymerase II promoter
Ssiderea257518	RNA-binding protein Musashi homolog
Ssiderea244214	negative regulation of smooth muscle cell differentiation
Ssiderea257453	Calsequestrin is a high-capacity, moderate affinity, calcium-binding protein and thus acts as an internal calcium store in muscle
Ssiderea242707	Ubiquitin family
Ssiderea255090	spliceosomal snRNP assembly
Ssiderea263484	positive regulation of phosphorylation of RNA polymerase II C-terminal domain
Ssiderea219362	-
Ssiderea261053	Vacuolar Protein
Ssiderea240106	Transposase IS4
Ssiderea263143	Transmembrane protein 259
Ssiderea248766	Ribosome biogenesis protein Nop16
Ssiderea232702	NADP-retinol dehydrogenase activity
Ssiderea282021	RNA-3'-phosphate cyclase activity
Ssiderea254146	Regulatory subunit of the condensin complex, a complex required for conversion of interphase chromatin into mitotic-like condense chromosomes
Ssiderea226487	G-protein coupled receptor activity
Ssiderea256367	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity
Ssiderea260037	transmembrane transport
Ssiderea251521	1-phosphatidylinositol binding
Ssiderea60135	protein-hormone receptor activity
Ssiderea314855	negative regulation of non-canonical Wnt signaling pathway
Ssiderea252049	regulation of protein complex stability
Ssiderea256547	anterograde synaptic vesicle transport
Ssiderea211389	Selenium-binding protein which may be involved in the sensing of reactive xenobiotics in the cytoplasm. May be involved in intra-Golgi protein transport (By similarity)
Ssiderea251128	RNA binding
Ssiderea237599	transmembrane receptor protein tyrosine kinase activity
Ssiderea285043	glutathione peroxidase activity
Ssiderea218333	ATP-dependent RNA helicase activity
Ssiderea263317	Pao retrotransposon peptidase
Ssiderea209916	fatty acid beta-oxidation using acyl-CoA dehydrogenase
Ssiderea242401	protein transport
Ssiderea210855	protein disulfide isomerase activity
Ssiderea258380	May promote cell cycle arrest by enhancing the inhibition of CDK2 activity by CDKN1A. May be required for repair of DNA damage by homologous recombination in conjunction with BRCA2. May not be involved in non-homologous end joining (NHEJ)
Ssiderea222342	Belongs to the universal ribosomal protein uS9 family
Ssiderea260161	oxidoreductase activity
Ssiderea256104	Isopentenyl-diphosphate
Ssiderea237389	mitochondrial translation
Ssiderea253076	proteasome assembly
Ssiderea236579	protein dimerization activity
Ssiderea255607	semaphorin receptor activity
Ssiderea236514	Synaptotagmin
Ssiderea249641	positive regulation of Wnt protein secretion
Ssiderea125399	Reverse transcriptase (RNA-dependent DNA polymerase)
Ssiderea241788	26S proteasome non-ATPase regulatory subunit
Ssiderea231990	NFX1-type zinc finger-containing protein
Ssiderea177422	G-protein coupled receptor activity
Ssiderea244726	spontaneous exocytosis of neurotransmitter
Ssiderea205955	Cupin-like domain
Ssiderea248990	phosphoprotein phosphatase activity
Ssiderea259582	ribosomal protein S6 kinase
Ssiderea243703	protein C2orf50 homolog
Ssiderea255478	Essential component of the TIM23 complex, a complex that mediates the translocation of transit peptide-containing proteins across the mitochondrial inner membrane
Ssiderea251627	positive regulation of TOR signaling
Ssiderea262147	Integrase core domain
Ssiderea255572	Von Willebrand factor A
Ssiderea256750	RAB10, member RAS oncogene family
Ssiderea236663	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Ssiderea200068	Metalloendopeptidase activity. It is involved in the biological process described with proteolysis
Ssiderea210956	glycerol-3-phosphatase activity
Ssiderea343493	S-adenosylhomocysteine catabolic process
Ssiderea248050	signal peptide
Ssiderea297780	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea245685	Caspase domain
Ssiderea25086	Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2 ). Among the enzymes to be stimulated by the calmodulin-Ca(2 ) complex are a number of protein kinases and phosphatases
Ssiderea254139	protein K11-linked ubiquitination
Ssiderea52454	GABA-A receptor activity
Ssiderea263160	-
Ssiderea221959	STIP1 homology and U-box containing protein 1
Ssiderea253950	regulation of translation
Ssiderea232709	regulation of cardiac muscle myoblast proliferation
Ssiderea233568	Neuronal acetylcholine receptor subunit
Ssiderea254873	Store-operated calcium entry-associated regulatory factor
Ssiderea199647	G-protein coupled receptor activity
Ssiderea255763	ribose-5-phosphate isomerase activity
Ssiderea253659	pyroglutamyl-peptidase activity
Ssiderea259063	Von Willebrand factor A
Ssiderea239358	regulation of intraciliary retrograde transport
Ssiderea212221	protein side chain deglutamylation
Ssiderea260409	-
Ssiderea253630	superoxide-generating NADPH oxidase activity
Ssiderea234294	positive regulation of rRNA processing
Ssiderea228847	K02A2.6-like
Ssiderea146045	Porphyromonas-type peptidyl-arginine deiminase
Ssiderea184702	Dynein heavy chain, N-terminal region 1
Ssiderea261982	capping protein (actin filament) muscle Z-line, beta
Ssiderea245411	negative regulation of sequestering of triglyceride
Ssiderea262953	Leukotriene A-4 hydrolase
Ssiderea257433	Structural maintenance of chromosomes
Ssiderea261302	U4atac snRNA binding
Ssiderea257253	Protein tyrosine kinase
Ssiderea255786	thick ascending limb development
Ssiderea237129	proteasome binding
Ssiderea456550	homophilic cell adhesion via plasma membrane adhesion molecules
Ssiderea253707	Hermansky-Pudlak syndrome 3
Ssiderea237724	GTP binding. It is involved in the biological process described with
Ssiderea261916	plus-end directed microfilament motor activity
Ssiderea153685	triglyceride lipase activity
Ssiderea251996	metal ion binding
Ssiderea257683	base-excision repair, DNA ligation
Ssiderea253105	hippo signaling
Ssiderea249685	FAM194 protein
Ssiderea171278	negative regulation of smooth muscle cell differentiation
Ssiderea253916	Anticodon-binding domain
Ssiderea239701	5'-deoxyribose-5-phosphate lyase activity
Ssiderea263428	Sacsin molecular chaperone
Ssiderea261385	intracellular chloride channel activity
Ssiderea259327	hydrolase activity
Ssiderea198097	3-oxo-5-alpha-steroid 4-dehydrogenase
Ssiderea248171	FAD-dependent monooxygenase required for the C5-ring hydroxylation during ubiquinone biosynthesis. Catalyzes the hydroxylation of 3-polyprenyl-4-hydroxybenzoic acid to 3- polyprenyl-4,5-dihydroxybenzoic acid. The electrons required for the hydroxylation reaction may be funneled indirectly from NADPH via a ferredoxin ferredoxin reductase system to COQ6
Ssiderea222396	Ankyrin repeats (many copies)
Ssiderea246159	Ankyrin repeats (many copies)
Ssiderea256975	U6 snRNA binding
Ssiderea230358	Acyl-CoA dehydrogenase, C-terminal domain
Ssiderea251078	protein 3 homolog
Ssiderea257547	ATP-dependent RNA helicase activity
Ssiderea243649	ligase activity
Ssiderea257290	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
Ssiderea9450	calcium ion binding
Ssiderea256720	Cell division cycle
Ssiderea261617	Coiled-coil domain containing 148
Ssiderea245384	protein import into peroxisome matrix
Ssiderea254018	positive regulation of peptidyl-threonine phosphorylation
Ssiderea234670	major facilitator superfamily
Ssiderea258058	Reticulon
Ssiderea229270	phagosome acidification
Ssiderea262652	DEAD/DEAH box helicase
Ssiderea182925	S-adenosyl-L-methionine-dependent protein-lysine N- methyltransferase that methylates elongation factor 1-alpha
Ssiderea255984	Nuclear pore glycoprotein
Ssiderea234278	-
Ssiderea252576	Polysaccharide deacetylase
Ssiderea260904	High affinity cGMP-specific 3',5'-cyclic phosphodiesterase
Ssiderea256242	Myosin, light
Ssiderea252735	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell
Ssiderea209357	sequence-specific DNA binding
Ssiderea2790	protein localization to membrane raft
Ssiderea236199	coiled-coil
Ssiderea249468	Extracellular calcium-sensing receptor-like
Ssiderea261618	modulation by host of viral RNA genome replication
Ssiderea260909	SOCS box
Ssiderea253428	3-oxo-lignoceroyl-CoA reductase activity
Ssiderea111186	receptor 161
Ssiderea219905	ribosomal protein
Ssiderea247823	ATP-dependent RNA helicase
Ssiderea259572	Belongs to the ubiquitin-conjugating enzyme family
Ssiderea233437	It is involved in the biological process described with
Ssiderea259961	regulation of vesicle fusion
Ssiderea240613	double C2-like
Ssiderea256474	Bardet-Biedl syndrome 4
Ssiderea382737	biological adhesion
Ssiderea251051	downstream neighbor of Son
Ssiderea184079	DN3 thymocyte differentiation
Ssiderea232424	sequence-specific DNA binding
Ssiderea246902	acetyl-CoA hydrolase activity
Ssiderea211158	metallopeptidase activity
Ssiderea257217	Alpha amylase, catalytic domain
Ssiderea255919	transposition, RNA-mediated
Ssiderea170945	ribosomal small subunit assembly
Ssiderea194491	Belongs to the 14-3-3 family
Ssiderea260075	beta-galactosidase activity
Ssiderea248359	negative regulation of meiotic chromosome separation
Ssiderea248664	motor activity
Ssiderea241429	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases.
Ssiderea252123	partner of NOB1 homolog
Ssiderea243902	Outer dense fiber
Ssiderea250886	regulation of T cell homeostatic proliferation
Ssiderea237694	Rap Ran-GAP domain-like
Ssiderea259142	acid phosphatase activity
Ssiderea217210	Ligand-gated ion channel
Ssiderea262663	K02A2.6-like
Ssiderea240838	structural constituent of cuticle
Ssiderea235703	DNA binding
Ssiderea240522	Fructosamine-3-kinase-related protein
Ssiderea261860	Protein kinase C conserved region 2 (CalB)
Ssiderea153436	G-protein coupled receptor activity
Ssiderea249722	Integrase core domain
Ssiderea238879	unmethylated CpG binding
Ssiderea256766	RNA secondary structure unwinding
Ssiderea255647	ventral midline determination
Ssiderea65356	guanine nucleotide-releasing factor
Ssiderea232112	defense response to tumor cell
Ssiderea70287	Epoxide hydrolase N terminus
Ssiderea126790	Belongs to the isocitrate and isopropylmalate dehydrogenases family
Ssiderea72746	calcium, potassium:sodium antiporter activity
Ssiderea249526	neurogenic locus notch homolog protein
Ssiderea231698	G-protein coupled receptor activity
Ssiderea233186	Potassium channel subfamily K member
Ssiderea249037	L-fucose kinase
Ssiderea192804	ribosomal protein
Ssiderea256506	molybdate ion transmembrane transporter activity
Ssiderea250655	phosphatase binding
Ssiderea221460	thyrotropin-releasing hormone receptor activity
Ssiderea262225	regulation of RNA splicing
Ssiderea258631	Poly (ADP-ribose) polymerase
Ssiderea244899	succinate-semialdehyde dehydrogenase [NAD(P)+] activity
Ssiderea262697	establishment of epithelial cell polarity
Ssiderea238977	actin filament capping
Ssiderea256359	-
Ssiderea257904	positive regulation of cell-substrate adhesion
Ssiderea259846	Mediator complex subunit 23
Ssiderea261398	Golgi transport vesicle coating
Ssiderea110815	serine threonine protein kinase
Ssiderea256249	regulation of mitotic cell cycle
Ssiderea254746	coenzyme binding
Ssiderea249018	respiratory chain complex III assembly
Ssiderea235598	MFS_1 like family
Ssiderea250010	establishment of Sertoli cell barrier
Ssiderea250517	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
Ssiderea259744	zinc ion binding
Ssiderea259694	ATP-dependent microtubule motor activity, plus-end-directed
Ssiderea251510	5'-3' exonuclease activity
Ssiderea257676	smoothened signaling pathway involved in ventral spinal cord interneuron specification
Ssiderea254011	Kelch-like protein 17
Ssiderea247835	glucose transmembrane transporter activity
Ssiderea262385	ubiquitin conjugating enzyme activity
Ssiderea258758	DDE superfamily endonuclease
Ssiderea255986	transmembrane transport
Ssiderea262762	G-quadruplex DNA unwinding
Ssiderea262978	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea257743	nicotinamide riboside catabolic process
Ssiderea239257	transporter activity
Ssiderea492458	Serine threonine-protein phosphatase
Ssiderea370274	Belongs to the pyruvate kinase family
Ssiderea263294	DyNactin
Ssiderea257261	adenylate kinase
Ssiderea246848	Serine beta-lactamase-like protein LACTB
Ssiderea284917	ADP-ribosylglycohydrolase
Ssiderea248423	Cytochrome c1
Ssiderea261581	Splicing factor 3b, subunit 3
Ssiderea257187	Nuclear prelamin A recognition
Ssiderea234585	Leucine-rich repeats, outliers
Ssiderea256039	BolA-like protein
Ssiderea253998	alanyl-tRNA aminoacylation
Ssiderea16275	ubiquitin-protein transferase activity
Ssiderea255008	phosphatidic acid transporter activity
Ssiderea248377	-
Ssiderea260387	X-ray repair complementing defective repair in Chinese hamster cells 4
Ssiderea250626	aldose 1-epimerase activity
Ssiderea319361	voltage-gated potassium channel activity
Ssiderea247784	BCL (B-Cell lymphoma); contains BH1, BH2 regions
Ssiderea250537	acetylcholine-gated cation-selective channel activity
Ssiderea257696	-
Ssiderea257880	programmed cell death
Ssiderea249963	Methyltransferase-like protein 17
Ssiderea260103	Transmembrane protein family 232
Ssiderea241221	negative regulation of smooth muscle cell differentiation
Ssiderea252276	Hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. It is involved in the biological process described with nitrogen compound metabolic process
Ssiderea220740	Baculoviral inhibition of apoptosis protein repeat
Ssiderea248262	D-lactate dehydrogenase (cytochrome) activity
Ssiderea263656	NFX1-type zinc finger-containing protein
Ssiderea243572	Stress-induced-phosphoprotein 1 (Hsp70 Hsp90-organizing protein)
Ssiderea171888	structural constituent of ribosome
Ssiderea261493	Actin interacting protein 3
Ssiderea255167	transforming growth factor beta receptor signaling pathway
Ssiderea251915	Tyrosine kinase, catalytic domain
Ssiderea20192	NACHT and WD repeat
Ssiderea244992	G-protein coupled receptor activity
Ssiderea245243	poly(A)-specific ribonuclease (PARN)-like
Ssiderea151900	ribosomal small subunit assembly
Ssiderea253444	mammillothalamic axonal tract development
Ssiderea248902	Ras-related protein
Ssiderea259182	esophagus smooth muscle contraction
Ssiderea225408	ATP binding
Ssiderea243170	START domain
Ssiderea205042	o-methyltransferase
Ssiderea261294	Belongs to the 5'-nucleotidase family
Ssiderea252751	kinase activity
Ssiderea261264	K02A2.6-like
Ssiderea235736	ubiquitin-dependent endocytosis
Ssiderea248695	cytosine C-5 DNA demethylase activity
Ssiderea255754	axonemal central apparatus assembly
Ssiderea236792	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Ssiderea248890	acetylcholine-gated cation-selective channel activity
Ssiderea249459	positive regulation of organelle assembly
Ssiderea220296	G-protein coupled receptor activity
Ssiderea228214	metalloendopeptidase activity
Ssiderea263151	dehydrogenase reductase family 42E member 1
Ssiderea252389	sperm flagellum movement
Ssiderea332714	Eukaryotic-type carbonic anhydrase
Ssiderea241649	Cathepsin propeptide inhibitor domain (I29)
Ssiderea254928	homolog, subfamily C, member 11
Ssiderea249756	Domain of unknown function (DUF4371)
Ssiderea251498	ubiquitin-protein transferase activity
Ssiderea113282	glucosyltransferase activity
Ssiderea260789	deacylase
Ssiderea249068	epidermal growth factor receptor
Ssiderea262758	E3 ubiquitin-protein ligase listerin
Ssiderea243651	positive regulation of centriole elongation
Ssiderea258784	Fatty acid desaturase
Ssiderea252262	rRNA (adenine-N6,N6-)-dimethyltransferase activity
Ssiderea253711	positive regulation of phosphorylation of RNA polymerase II C-terminal domain
Ssiderea143513	Elongation factor Tu C-terminal domain
Ssiderea244232	coreceptor activity involved in Wnt signaling pathway, planar cell polarity pathway
Ssiderea234016	cytochrome P450
Ssiderea259109	GTPase activity
Ssiderea228918	serine threonine-protein kinase
Ssiderea262980	Belongs to the protein kinase superfamily
Ssiderea261792	Echinoderm microtubule associated protein like
Ssiderea312980	maturation of LSU-rRNA
Ssiderea164008	Cupin-like domain
Ssiderea238650	metal ion binding
Ssiderea164001	calcium ion binding
Ssiderea262135	metalloaminopeptidase activity
Ssiderea22971	major facilitator superfamily
Ssiderea259281	regulation of cell shape
Ssiderea220140	Domain of unknown function (DUF4505)
Ssiderea261395	Centrosomal protein
Ssiderea255579	nuclear protein quality control by the ubiquitin-proteasome system
Ssiderea251878	-
Ssiderea259096	microtubule motor activity
Ssiderea199356	Nidogen 1
Ssiderea262319	Transcription factor 20
Ssiderea259134	RNA polymerase
Ssiderea258252	beta-endorphin binding
Ssiderea248432	Kelch-like
Ssiderea263019	protein-glycine ligase activity, elongating
Ssiderea247337	Belongs to the cullin family
Ssiderea260534	Subunit of the peripheral V1 complex of vacuolar ATPase. Subunit C is necessary for the assembly of the catalytic sector of the enzyme and is likely to have a specific function in its catalytic activity. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
Ssiderea253066	Nidogen-like
Ssiderea410811	DDE superfamily endonuclease
Ssiderea255286	Uncharacterized conserved protein (DUF2152)
Ssiderea243827	glutathione hydrolase activity
Ssiderea247748	doublecortin domain-containing protein
Ssiderea249254	spermatogenesis
Ssiderea263025	forked DNA-dependent helicase activity
Ssiderea33036	7 transmembrane receptor (rhodopsin family)
Ssiderea227196	positive regulation of interleukin-13 biosynthetic process
Ssiderea253588	splicing factor 3a, subunit 1
Ssiderea262397	response to flavonoid
Ssiderea256568	6-phosphofructo-2-kinase activity
Ssiderea258437	transmembrane protein 41B
Ssiderea251881	nucleoside triphosphate adenylate kinase activity
Ssiderea257017	3-oxoacid CoA-transferase activity
Ssiderea251544	regulation of microtubule-based process
Ssiderea252077	RRS1 ribosome biogenesis regulator homolog (S. cerevisiae)
Ssiderea237274	Tectonin beta-propeller
Ssiderea262232	Laminin N-terminal domain (domain VI)
Ssiderea243427	protein phosphatase inhibitor activity
Ssiderea241626	cell redox homeostasis
Ssiderea246610	alpha-L-fucosidase activity
Ssiderea239788	Protein tyrosine phosphatase, catalytic domain
Ssiderea121954	Universal stress protein family
Ssiderea246834	hydrolase activity, acting on ester bonds
Ssiderea250904	Prolyl 4-hydroxylase alpha subunit homologues.
Ssiderea252550	nuclease activity
Ssiderea254333	WD domain, G-beta repeat
Ssiderea103431	ALG3 protein
Ssiderea242250	protein transport
Ssiderea232785	Trichohyalin-plectin-homology domain
Ssiderea232498	ER to Golgi vesicle-mediated transport
Ssiderea259776	ATP-dependent microtubule motor activity, minus-end-directed
Ssiderea258170	pyrimidine nucleotide-sugar transmembrane transport
Ssiderea184308	regulation of canonical Wnt signaling pathway involved in osteoblast differentiation
Ssiderea255392	calcineurin-NFAT signaling cascade
Ssiderea258981	Cupin-like domain
Ssiderea237431	viral mRNA export from host cell nucleus
Ssiderea206697	L27_2
Ssiderea256468	Nuclear factor related to
Ssiderea236062	dual specificity protein phosphatase
Ssiderea305524	Phosphoglucan, water dikinase
Ssiderea246580	Testis expressed 9
Ssiderea249484	NAADP-sensitive calcium-release channel activity
Ssiderea337856	-
Ssiderea250707	protein tyrosine phosphatase activity
Ssiderea256347	Immunoglobulin mu binding protein 2
Ssiderea250586	Chromosome 10 open reading frame 107
Ssiderea253053	protein localization to pericentriolar material
Ssiderea222676	Immunoglobulin C-2 Type
Ssiderea252547	Protein of unknown function (DUF3161)
Ssiderea242767	Gamma-tubulin complex is necessary for microtubule nucleation at the centrosome
Ssiderea251951	Exostosin family
Ssiderea248258	lipid droplet organization
Ssiderea263375	Alternative oxidase
Ssiderea262334	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
Ssiderea240964	regulation of T cell differentiation in thymus
Ssiderea229414	Belongs to the short-chain dehydrogenases reductases (SDR) family
Ssiderea210647	G-protein coupled receptor activity
Ssiderea257168	RNA transmembrane transporter activity
Ssiderea252238	GTPase activator activity
Ssiderea95180	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Ssiderea246564	Histidine phosphatase superfamily (branch 2)
Ssiderea244297	ADP-dependent NAD(P)H-hydrate dehydratase activity
Ssiderea248439	Belongs to the mitochondrial carrier (TC 2.A.29) family
Ssiderea246823	sialidase 1 (lysosomal sialidase)
Ssiderea243886	appendage morphogenesis
Ssiderea260575	poly(ADP-ribose) glycohydrolase activity
Ssiderea260110	calcium, potassium:sodium antiporter activity
Ssiderea223089	Belongs to the universal ribosomal protein uS13 family
Ssiderea227456	Dynactin subunit p22
Ssiderea260206	Regulator of microtubule dynamics
Ssiderea256612	acidic dipeptidase
Ssiderea226183	anthranilate synthase activity
Ssiderea262155	TraB family
Ssiderea251118	Galactokinase
Ssiderea259496	inorganic phosphate transmembrane transporter activity
Ssiderea204047	TORC1 signaling
Ssiderea381446	DDE superfamily endonuclease
Ssiderea218525	protein C10orf82 homolog
Ssiderea302677	protein serine threonine kinase activity. It is involved in the biological process described with protein phosphorylation
Ssiderea241105	digestion
Ssiderea253403	translation elongation factor activity
Ssiderea10945	Belongs to the pseudouridine synthase RsuA family
Ssiderea228757	positive regulation of protein monoubiquitination
Ssiderea238883	ubiquitin-like protein-specific protease activity
Ssiderea239526	Belongs to the class I-like SAM-binding methyltransferase superfamily. Protein arginine N- methyltransferase family
Ssiderea241367	adenylate cyclase-inhibiting G-protein coupled glutamate receptor signaling pathway
Ssiderea245895	histone H3 acetylation
Ssiderea252106	protein ubiquitination
Ssiderea221829	amidohydrolase domain containing 1
Ssiderea27207	rRNA export from nucleus
Ssiderea262887	May play a role in anchoring the cytoskeleton to the plasma membrane
Ssiderea260228	DDE superfamily endonuclease
Ssiderea256481	glycerophosphodiester phosphodiesterase 1
Ssiderea369802	K02A2.6-like
Ssiderea245394	Leucine rich repeat
Ssiderea262180	cytoplasmic sequestering of NF-kappaB
Ssiderea253304	Domain of unknown function (DUF4540)
Ssiderea242211	transcriptional
Ssiderea59384	K02A2.6-like
Ssiderea262770	Family of unknown function (DUF572)
Ssiderea262646	acyloxyacyl hydrolase activity
Ssiderea248087	short chain dehydrogenase
Ssiderea240678	neurogenic locus notch homolog protein
Ssiderea261993	osteoclast fusion
Ssiderea254331	Solute carrier family 37
Ssiderea235411	positive regulation of cytoplasmic mRNA processing body assembly
Ssiderea254358	acyl-CoA synthetase medium-chain family member 3
Ssiderea250510	gamma-glutamylcyclotransferase activity
Ssiderea261900	Transketolase
Ssiderea262350	motile cilium assembly
Ssiderea246296	outer dynein arm assembly
Ssiderea251606	ion transport
Ssiderea245882	protein modification by small protein conjugation
Ssiderea123223	alpha-1,3-glucosidase activity
Ssiderea213936	protein modification by small protein conjugation
Ssiderea242003	transmembrane protein 53
Ssiderea414104	negative regulation of canonical Wnt signaling pathway involved in cardiac muscle cell fate commitment
Ssiderea81236	Calcium-binding protein
Ssiderea260319	ubinuclein
Ssiderea259229	G-protein coupled receptor activity
Ssiderea399853	cysteine-type endopeptidase activity
Ssiderea234154	phosphatidylinositol-3,5-bisphosphate binding
