Ssiderea30_c0_seq1	Ssiderea30
Ssiderea231219_c0_seq2	Ssiderea231219
Ssiderea231220_c0_seq1	Ssiderea231220
Ssiderea231236_c0_seq1	Ssiderea231236
Ssiderea231250_c0_seq1	Ssiderea231250
Ssiderea231250_c0_seq2	Ssiderea231250
Ssiderea231250_c0_seq3	Ssiderea231250
Ssiderea231250_c0_seq4	Ssiderea231250
Ssiderea231250_c0_seq5	Ssiderea231250
Ssiderea231250_c0_seq6	Ssiderea231250
Ssiderea231250_c0_seq7	Ssiderea231250
Ssiderea231265_c0_seq6	Ssiderea231265
Ssiderea231265_c0_seq7	Ssiderea231265
Ssiderea231284_c0_seq1	Ssiderea231284
Ssiderea231291_c0_seq1	Ssiderea231291
Ssiderea231302_c0_seq1	Ssiderea231302
Ssiderea231302_c0_seq3	Ssiderea231302
Ssiderea231336_c0_seq2	Ssiderea231336
Ssiderea231349_c0_seq1	Ssiderea231349
Ssiderea231354_c0_seq1	Ssiderea231354
Ssiderea231354_c0_seq2	Ssiderea231354
Ssiderea231362_c0_seq1	Ssiderea231362
Ssiderea231363_c0_seq1	Ssiderea231363
Ssiderea231367_c0_seq1	Ssiderea231367
Ssiderea231368_c0_seq1	Ssiderea231368
Ssiderea231368_c0_seq2	Ssiderea231368
Ssiderea231368_c0_seq3	Ssiderea231368
Ssiderea231382_c0_seq1	Ssiderea231382
Ssiderea231393_c0_seq1	Ssiderea231393
Ssiderea231393_c0_seq2	Ssiderea231393
Ssiderea231393_c0_seq3	Ssiderea231393
Ssiderea231407_c0_seq1	Ssiderea231407
Ssiderea231407_c0_seq3	Ssiderea231407
Ssiderea231410_c0_seq1	Ssiderea231410
Ssiderea231410_c0_seq2	Ssiderea231410
Ssiderea231417_c0_seq1	Ssiderea231417
Ssiderea231419_c0_seq3	Ssiderea231419
Ssiderea231419_c0_seq4	Ssiderea231419
Ssiderea231428_c0_seq1	Ssiderea231428
Ssiderea231446_c0_seq1	Ssiderea231446
Ssiderea231448_c0_seq1	Ssiderea231448
Ssiderea231453_c0_seq1	Ssiderea231453
Ssiderea231474_c0_seq1	Ssiderea231474
Ssiderea231486_c0_seq2	Ssiderea231486
Ssiderea231486_c0_seq3	Ssiderea231486
Ssiderea231488_c0_seq1	Ssiderea231488
Ssiderea231497_c0_seq1	Ssiderea231497
Ssiderea231518_c0_seq1	Ssiderea231518
Ssiderea231518_c0_seq2	Ssiderea231518
Ssiderea231518_c0_seq3	Ssiderea231518
Ssiderea231520_c0_seq1	Ssiderea231520
Ssiderea231521_c0_seq1	Ssiderea231521
Ssiderea231538_c0_seq1	Ssiderea231538
Ssiderea231543_c0_seq2	Ssiderea231543
Ssiderea231543_c0_seq3	Ssiderea231543
Ssiderea231570_c0_seq1	Ssiderea231570
Ssiderea231570_c0_seq3	Ssiderea231570
Ssiderea231573_c0_seq7	Ssiderea231573
Ssiderea231573_c0_seq10	Ssiderea231573
Ssiderea231585_c0_seq1	Ssiderea231585
Ssiderea231585_c0_seq10	Ssiderea231585
Ssiderea231585_c0_seq16	Ssiderea231585
Ssiderea231585_c0_seq20	Ssiderea231585
Ssiderea231587_c0_seq1	Ssiderea231587
Ssiderea231593_c0_seq4	Ssiderea231593
Ssiderea231617_c0_seq1	Ssiderea231617
Ssiderea231622_c0_seq2	Ssiderea231622
Ssiderea231624_c0_seq1	Ssiderea231624
Ssiderea231626_c0_seq1	Ssiderea231626
Ssiderea231627_c0_seq1	Ssiderea231627
Ssiderea231632_c0_seq1	Ssiderea231632
Ssiderea231638_c0_seq1	Ssiderea231638
Ssiderea231638_c0_seq2	Ssiderea231638
Ssiderea231638_c0_seq3	Ssiderea231638
Ssiderea231641_c0_seq1	Ssiderea231641
Ssiderea231641_c0_seq2	Ssiderea231641
Ssiderea231641_c0_seq3	Ssiderea231641
Ssiderea231641_c0_seq4	Ssiderea231641
Ssiderea231648_c0_seq1	Ssiderea231648
Ssiderea231662_c2_seq3	Ssiderea231662
Ssiderea231662_c2_seq10	Ssiderea231662
Ssiderea231662_c2_seq15	Ssiderea231662
Ssiderea231662_c2_seq23	Ssiderea231662
Ssiderea231662_c2_seq24	Ssiderea231662
Ssiderea231662_c2_seq27	Ssiderea231662
Ssiderea231662_c2_seq28	Ssiderea231662
Ssiderea231662_c2_seq33	Ssiderea231662
Ssiderea231662_c2_seq34	Ssiderea231662
Ssiderea231662_c2_seq36	Ssiderea231662
Ssiderea231662_c2_seq44	Ssiderea231662
Ssiderea231662_c2_seq52	Ssiderea231662
Ssiderea231662_c2_seq56	Ssiderea231662
Ssiderea231662_c2_seq57	Ssiderea231662
Ssiderea231662_c2_seq64	Ssiderea231662
Ssiderea231662_c2_seq66	Ssiderea231662
Ssiderea231662_c2_seq70	Ssiderea231662
Ssiderea231662_c2_seq74	Ssiderea231662
Ssiderea231662_c2_seq75	Ssiderea231662
Ssiderea231662_c2_seq76	Ssiderea231662
Ssiderea231665_c0_seq1	Ssiderea231665
Ssiderea231667_c0_seq1	Ssiderea231667
Ssiderea231668_c0_seq1	Ssiderea231668
Ssiderea231668_c0_seq2	Ssiderea231668
Ssiderea231670_c0_seq1	Ssiderea231670
Ssiderea231676_c0_seq1	Ssiderea231676
Ssiderea231686_c0_seq1	Ssiderea231686
Ssiderea231698_c0_seq1	Ssiderea231698
Ssiderea231701_c0_seq3	Ssiderea231701
Ssiderea231704_c0_seq2	Ssiderea231704
Ssiderea231704_c0_seq6	Ssiderea231704
Ssiderea231704_c0_seq10	Ssiderea231704
Ssiderea231704_c0_seq19	Ssiderea231704
Ssiderea231706_c0_seq1	Ssiderea231706
Ssiderea231708_c0_seq1	Ssiderea231708
Ssiderea231708_c0_seq4	Ssiderea231708
Ssiderea231708_c0_seq5	Ssiderea231708
Ssiderea231708_c0_seq7	Ssiderea231708
Ssiderea231708_c0_seq10	Ssiderea231708
Ssiderea231708_c0_seq11	Ssiderea231708
Ssiderea231714_c1_seq6	Ssiderea231714
Ssiderea231717_c0_seq1	Ssiderea231717
Ssiderea231717_c0_seq2	Ssiderea231717
Ssiderea231717_c0_seq4	Ssiderea231717
Ssiderea231717_c0_seq5	Ssiderea231717
Ssiderea231731_c0_seq1	Ssiderea231731
Ssiderea231744_c0_seq1	Ssiderea231744
Ssiderea231744_c0_seq2	Ssiderea231744
Ssiderea231752_c0_seq1	Ssiderea231752
Ssiderea231758_c0_seq1	Ssiderea231758
Ssiderea231763_c0_seq1	Ssiderea231763
Ssiderea231773_c0_seq1	Ssiderea231773
Ssiderea231773_c0_seq2	Ssiderea231773
Ssiderea231776_c0_seq1	Ssiderea231776
Ssiderea231776_c0_seq2	Ssiderea231776
Ssiderea231786_c0_seq1	Ssiderea231786
Ssiderea231792_c0_seq4	Ssiderea231792
Ssiderea231792_c1_seq3	Ssiderea231792
Ssiderea231792_c1_seq4	Ssiderea231792
Ssiderea231799_c0_seq1	Ssiderea231799
Ssiderea231799_c0_seq2	Ssiderea231799
Ssiderea231799_c0_seq3	Ssiderea231799
Ssiderea231803_c0_seq1	Ssiderea231803
Ssiderea231809_c0_seq1	Ssiderea231809
Ssiderea231809_c0_seq2	Ssiderea231809
Ssiderea231809_c0_seq3	Ssiderea231809
Ssiderea231809_c0_seq4	Ssiderea231809
Ssiderea231809_c0_seq8	Ssiderea231809
Ssiderea231809_c0_seq9	Ssiderea231809
Ssiderea231809_c0_seq11	Ssiderea231809
Ssiderea231809_c0_seq12	Ssiderea231809
Ssiderea231809_c0_seq13	Ssiderea231809
Ssiderea231810_c0_seq1	Ssiderea231810
Ssiderea231815_c0_seq1	Ssiderea231815
Ssiderea231839_c0_seq1	Ssiderea231839
Ssiderea231839_c0_seq2	Ssiderea231839
Ssiderea231841_c0_seq5	Ssiderea231841
Ssiderea231852_c0_seq1	Ssiderea231852
Ssiderea231852_c0_seq2	Ssiderea231852
Ssiderea231852_c0_seq3	Ssiderea231852
Ssiderea231852_c0_seq4	Ssiderea231852
Ssiderea231852_c0_seq5	Ssiderea231852
Ssiderea231852_c0_seq6	Ssiderea231852
Ssiderea231859_c0_seq1	Ssiderea231859
Ssiderea231859_c0_seq4	Ssiderea231859
Ssiderea231859_c0_seq5	Ssiderea231859
Ssiderea231859_c0_seq6	Ssiderea231859
Ssiderea231859_c0_seq7	Ssiderea231859
Ssiderea231859_c0_seq8	Ssiderea231859
Ssiderea231860_c0_seq1	Ssiderea231860
Ssiderea231860_c0_seq3	Ssiderea231860
Ssiderea231860_c0_seq4	Ssiderea231860
Ssiderea231860_c0_seq5	Ssiderea231860
Ssiderea231860_c0_seq9	Ssiderea231860
Ssiderea231860_c0_seq10	Ssiderea231860
Ssiderea231879_c0_seq1	Ssiderea231879
Ssiderea231882_c0_seq1	Ssiderea231882
Ssiderea231885_c0_seq4	Ssiderea231885
Ssiderea231885_c0_seq5	Ssiderea231885
Ssiderea231894_c0_seq3	Ssiderea231894
Ssiderea231899_c0_seq1	Ssiderea231899
Ssiderea231917_c0_seq1	Ssiderea231917
Ssiderea231922_c0_seq1	Ssiderea231922
Ssiderea231942_c0_seq3	Ssiderea231942
Ssiderea231946_c0_seq2	Ssiderea231946
Ssiderea231949_c0_seq1	Ssiderea231949
Ssiderea231959_c0_seq1	Ssiderea231959
Ssiderea231959_c0_seq2	Ssiderea231959
Ssiderea231959_c0_seq3	Ssiderea231959
Ssiderea231959_c0_seq4	Ssiderea231959
Ssiderea231959_c0_seq6	Ssiderea231959
Ssiderea231964_c0_seq1	Ssiderea231964
Ssiderea231964_c0_seq4	Ssiderea231964
Ssiderea231964_c0_seq5	Ssiderea231964
Ssiderea231964_c0_seq7	Ssiderea231964
Ssiderea231964_c0_seq8	Ssiderea231964
Ssiderea231966_c0_seq1	Ssiderea231966
Ssiderea231967_c0_seq1	Ssiderea231967
Ssiderea231967_c0_seq2	Ssiderea231967
Ssiderea231974_c0_seq1	Ssiderea231974
Ssiderea231974_c0_seq3	Ssiderea231974
Ssiderea231974_c0_seq5	Ssiderea231974
Ssiderea231974_c0_seq7	Ssiderea231974
Ssiderea231974_c0_seq14	Ssiderea231974
Ssiderea231974_c0_seq19	Ssiderea231974
Ssiderea231974_c0_seq20	Ssiderea231974
Ssiderea231983_c0_seq1	Ssiderea231983
Ssiderea231990_c0_seq2	Ssiderea231990
Ssiderea231990_c0_seq3	Ssiderea231990
Ssiderea231990_c0_seq4	Ssiderea231990
Ssiderea231990_c0_seq5	Ssiderea231990
Ssiderea231990_c0_seq6	Ssiderea231990
Ssiderea231990_c0_seq7	Ssiderea231990
Ssiderea232028_c1_seq1	Ssiderea232028
Ssiderea232028_c1_seq2	Ssiderea232028
Ssiderea232028_c1_seq3	Ssiderea232028
Ssiderea232034_c0_seq3	Ssiderea232034
Ssiderea232037_c0_seq1	Ssiderea232037
Ssiderea232037_c0_seq2	Ssiderea232037
Ssiderea232039_c0_seq1	Ssiderea232039
Ssiderea232041_c0_seq1	Ssiderea232041
Ssiderea232049_c0_seq1	Ssiderea232049
Ssiderea232055_c0_seq1	Ssiderea232055
Ssiderea232055_c0_seq2	Ssiderea232055
Ssiderea232065_c0_seq1	Ssiderea232065
Ssiderea232068_c0_seq1	Ssiderea232068
Ssiderea232068_c0_seq2	Ssiderea232068
Ssiderea232077_c0_seq2	Ssiderea232077
Ssiderea232078_c0_seq1	Ssiderea232078
Ssiderea232089_c0_seq2	Ssiderea232089
Ssiderea232112_c0_seq1	Ssiderea232112
Ssiderea232112_c0_seq2	Ssiderea232112
Ssiderea232112_c0_seq3	Ssiderea232112
Ssiderea232115_c0_seq1	Ssiderea232115
Ssiderea232117_c0_seq1	Ssiderea232117
Ssiderea232117_c0_seq2	Ssiderea232117
Ssiderea232117_c0_seq4	Ssiderea232117
Ssiderea232117_c0_seq5	Ssiderea232117
Ssiderea232117_c0_seq6	Ssiderea232117
Ssiderea232117_c0_seq7	Ssiderea232117
Ssiderea232117_c0_seq10	Ssiderea232117
Ssiderea232120_c0_seq1	Ssiderea232120
Ssiderea232120_c0_seq2	Ssiderea232120
Ssiderea232135_c0_seq1	Ssiderea232135
Ssiderea232137_c0_seq1	Ssiderea232137
Ssiderea232150_c0_seq1	Ssiderea232150
Ssiderea232150_c0_seq2	Ssiderea232150
Ssiderea232155_c0_seq1	Ssiderea232155
Ssiderea232155_c0_seq2	Ssiderea232155
Ssiderea232171_c0_seq1	Ssiderea232171
Ssiderea232171_c0_seq2	Ssiderea232171
Ssiderea232178_c0_seq1	Ssiderea232178
Ssiderea232183_c0_seq2	Ssiderea232183
Ssiderea232208_c0_seq3	Ssiderea232208
Ssiderea232208_c0_seq4	Ssiderea232208
Ssiderea232225_c0_seq1	Ssiderea232225
Ssiderea232225_c0_seq2	Ssiderea232225
Ssiderea232228_c0_seq1	Ssiderea232228
Ssiderea232236_c0_seq1	Ssiderea232236
Ssiderea232236_c0_seq2	Ssiderea232236
Ssiderea232236_c0_seq4	Ssiderea232236
Ssiderea232236_c0_seq5	Ssiderea232236
Ssiderea232236_c0_seq6	Ssiderea232236
Ssiderea232236_c0_seq7	Ssiderea232236
Ssiderea232236_c0_seq9	Ssiderea232236
Ssiderea232236_c0_seq10	Ssiderea232236
Ssiderea232236_c0_seq11	Ssiderea232236
Ssiderea232236_c0_seq12	Ssiderea232236
Ssiderea232236_c0_seq13	Ssiderea232236
Ssiderea232236_c0_seq14	Ssiderea232236
Ssiderea232237_c0_seq1	Ssiderea232237
Ssiderea232237_c0_seq2	Ssiderea232237
Ssiderea232238_c0_seq1	Ssiderea232238
Ssiderea232239_c0_seq1	Ssiderea232239
Ssiderea232239_c0_seq2	Ssiderea232239
Ssiderea232254_c0_seq2	Ssiderea232254
Ssiderea232254_c0_seq4	Ssiderea232254
Ssiderea232261_c0_seq2	Ssiderea232261
Ssiderea232261_c0_seq4	Ssiderea232261
Ssiderea232283_c0_seq1	Ssiderea232283
Ssiderea232285_c0_seq1	Ssiderea232285
Ssiderea232305_c0_seq1	Ssiderea232305
Ssiderea232306_c0_seq3	Ssiderea232306
Ssiderea232317_c0_seq1	Ssiderea232317
Ssiderea232317_c0_seq2	Ssiderea232317
Ssiderea232328_c0_seq1	Ssiderea232328
Ssiderea232339_c0_seq1	Ssiderea232339
Ssiderea232339_c0_seq3	Ssiderea232339
Ssiderea232343_c0_seq1	Ssiderea232343
Ssiderea232362_c1_seq5	Ssiderea232362
Ssiderea232369_c0_seq1	Ssiderea232369
Ssiderea232372_c0_seq7	Ssiderea232372
Ssiderea232372_c0_seq28	Ssiderea232372
Ssiderea232375_c0_seq1	Ssiderea232375
Ssiderea232383_c0_seq1	Ssiderea232383
Ssiderea232384_c0_seq1	Ssiderea232384
Ssiderea232384_c0_seq3	Ssiderea232384
Ssiderea232384_c0_seq4	Ssiderea232384
Ssiderea232394_c0_seq1	Ssiderea232394
Ssiderea232394_c0_seq2	Ssiderea232394
Ssiderea232396_c0_seq1	Ssiderea232396
Ssiderea232399_c0_seq1	Ssiderea232399
Ssiderea232399_c0_seq2	Ssiderea232399
Ssiderea232408_c0_seq1	Ssiderea232408
Ssiderea232411_c0_seq1	Ssiderea232411
Ssiderea232412_c0_seq1	Ssiderea232412
Ssiderea232412_c0_seq2	Ssiderea232412
Ssiderea232416_c0_seq4	Ssiderea232416
Ssiderea232416_c0_seq5	Ssiderea232416
Ssiderea232424_c0_seq4	Ssiderea232424
Ssiderea232424_c0_seq5	Ssiderea232424
Ssiderea232436_c0_seq4	Ssiderea232436
Ssiderea232436_c0_seq15	Ssiderea232436
Ssiderea232436_c0_seq16	Ssiderea232436
Ssiderea232436_c0_seq26	Ssiderea232436
Ssiderea232443_c0_seq1	Ssiderea232443
Ssiderea232443_c0_seq2	Ssiderea232443
Ssiderea232443_c0_seq3	Ssiderea232443
Ssiderea232453_c0_seq1	Ssiderea232453
Ssiderea232453_c0_seq2	Ssiderea232453
Ssiderea232453_c0_seq5	Ssiderea232453
Ssiderea232453_c0_seq6	Ssiderea232453
Ssiderea232453_c0_seq8	Ssiderea232453
Ssiderea232453_c0_seq10	Ssiderea232453
Ssiderea232454_c0_seq2	Ssiderea232454
Ssiderea232462_c0_seq1	Ssiderea232462
Ssiderea232463_c0_seq2	Ssiderea232463
Ssiderea232463_c0_seq3	Ssiderea232463
Ssiderea232464_c0_seq1	Ssiderea232464
Ssiderea232466_c0_seq1	Ssiderea232466
Ssiderea232481_c0_seq1	Ssiderea232481
Ssiderea232482_c0_seq1	Ssiderea232482
Ssiderea232482_c0_seq2	Ssiderea232482
Ssiderea232486_c1_seq3	Ssiderea232486
Ssiderea232494_c0_seq1	Ssiderea232494
Ssiderea232495_c0_seq1	Ssiderea232495
Ssiderea232496_c0_seq1	Ssiderea232496
Ssiderea232498_c0_seq1	Ssiderea232498
Ssiderea232500_c0_seq1	Ssiderea232500
Ssiderea232500_c0_seq2	Ssiderea232500
Ssiderea232510_c0_seq1	Ssiderea232510
Ssiderea232510_c0_seq2	Ssiderea232510
Ssiderea232511_c1_seq1	Ssiderea232511
Ssiderea232511_c1_seq2	Ssiderea232511
Ssiderea232511_c1_seq3	Ssiderea232511
Ssiderea232511_c1_seq8	Ssiderea232511
Ssiderea232517_c1_seq1	Ssiderea232517
Ssiderea232522_c1_seq1	Ssiderea232522
Ssiderea232522_c1_seq2	Ssiderea232522
Ssiderea232522_c1_seq3	Ssiderea232522
Ssiderea232530_c0_seq1	Ssiderea232530
Ssiderea232537_c0_seq1	Ssiderea232537
Ssiderea232552_c0_seq1	Ssiderea232552
Ssiderea232557_c0_seq1	Ssiderea232557
Ssiderea232558_c0_seq1	Ssiderea232558
Ssiderea232560_c0_seq1	Ssiderea232560
Ssiderea232560_c0_seq2	Ssiderea232560
Ssiderea232561_c0_seq1	Ssiderea232561
Ssiderea232566_c0_seq1	Ssiderea232566
Ssiderea232567_c0_seq1	Ssiderea232567
Ssiderea232569_c0_seq1	Ssiderea232569
Ssiderea232571_c0_seq1	Ssiderea232571
Ssiderea232571_c0_seq2	Ssiderea232571
Ssiderea232571_c0_seq3	Ssiderea232571
Ssiderea232571_c0_seq4	Ssiderea232571
Ssiderea232571_c0_seq5	Ssiderea232571
Ssiderea232571_c0_seq6	Ssiderea232571
Ssiderea232571_c0_seq7	Ssiderea232571
Ssiderea232571_c0_seq8	Ssiderea232571
Ssiderea232581_c0_seq1	Ssiderea232581
Ssiderea232582_c0_seq1	Ssiderea232582
Ssiderea232585_c0_seq1	Ssiderea232585
Ssiderea232585_c0_seq2	Ssiderea232585
Ssiderea232591_c0_seq2	Ssiderea232591
Ssiderea232591_c0_seq5	Ssiderea232591
Ssiderea232591_c0_seq6	Ssiderea232591
Ssiderea232591_c0_seq8	Ssiderea232591
Ssiderea232591_c0_seq9	Ssiderea232591
Ssiderea232591_c0_seq10	Ssiderea232591
Ssiderea232591_c0_seq11	Ssiderea232591
Ssiderea232591_c0_seq13	Ssiderea232591
Ssiderea232591_c0_seq14	Ssiderea232591
Ssiderea232591_c0_seq15	Ssiderea232591
Ssiderea232596_c0_seq1	Ssiderea232596
Ssiderea232598_c0_seq9	Ssiderea232598
Ssiderea232598_c0_seq10	Ssiderea232598
Ssiderea232598_c0_seq13	Ssiderea232598
Ssiderea232600_c0_seq1	Ssiderea232600
Ssiderea232600_c0_seq2	Ssiderea232600
Ssiderea232600_c0_seq3	Ssiderea232600
Ssiderea232600_c0_seq4	Ssiderea232600
Ssiderea232602_c0_seq1	Ssiderea232602
Ssiderea232609_c0_seq1	Ssiderea232609
Ssiderea232624_c0_seq1	Ssiderea232624
Ssiderea232627_c0_seq1	Ssiderea232627
Ssiderea232629_c0_seq1	Ssiderea232629
Ssiderea232631_c0_seq1	Ssiderea232631
Ssiderea232632_c0_seq1	Ssiderea232632
Ssiderea232635_c0_seq1	Ssiderea232635
Ssiderea232636_c0_seq1	Ssiderea232636
Ssiderea232636_c0_seq2	Ssiderea232636
Ssiderea232640_c1_seq1	Ssiderea232640
Ssiderea232640_c1_seq2	Ssiderea232640
Ssiderea232644_c0_seq1	Ssiderea232644
Ssiderea232644_c0_seq2	Ssiderea232644
Ssiderea232644_c0_seq3	Ssiderea232644
Ssiderea232644_c0_seq4	Ssiderea232644
Ssiderea232648_c0_seq1	Ssiderea232648
Ssiderea232648_c0_seq2	Ssiderea232648
Ssiderea232648_c0_seq3	Ssiderea232648
Ssiderea232660_c0_seq1	Ssiderea232660
Ssiderea232675_c0_seq1	Ssiderea232675
Ssiderea232677_c0_seq1	Ssiderea232677
Ssiderea232684_c0_seq9	Ssiderea232684
Ssiderea232684_c0_seq10	Ssiderea232684
Ssiderea232684_c0_seq12	Ssiderea232684
Ssiderea232684_c0_seq14	Ssiderea232684
Ssiderea232684_c0_seq15	Ssiderea232684
Ssiderea232684_c0_seq19	Ssiderea232684
Ssiderea232684_c0_seq23	Ssiderea232684
Ssiderea232684_c0_seq24	Ssiderea232684
Ssiderea232688_c0_seq1	Ssiderea232688
Ssiderea232702_c0_seq3	Ssiderea232702
Ssiderea232709_c0_seq1	Ssiderea232709
Ssiderea232709_c0_seq2	Ssiderea232709
Ssiderea232709_c0_seq3	Ssiderea232709
Ssiderea232711_c1_seq1	Ssiderea232711
Ssiderea232712_c0_seq1	Ssiderea232712
Ssiderea232712_c0_seq4	Ssiderea232712
Ssiderea232714_c0_seq1	Ssiderea232714
Ssiderea232722_c0_seq1	Ssiderea232722
Ssiderea232725_c0_seq4	Ssiderea232725
Ssiderea232725_c0_seq5	Ssiderea232725
Ssiderea232726_c0_seq1	Ssiderea232726
Ssiderea232730_c0_seq1	Ssiderea232730
Ssiderea232738_c0_seq1	Ssiderea232738
Ssiderea232739_c0_seq1	Ssiderea232739
Ssiderea232752_c0_seq1	Ssiderea232752
Ssiderea232752_c0_seq2	Ssiderea232752
Ssiderea232752_c0_seq3	Ssiderea232752
Ssiderea232752_c0_seq4	Ssiderea232752
Ssiderea232754_c0_seq1	Ssiderea232754
Ssiderea232754_c0_seq2	Ssiderea232754
Ssiderea232754_c0_seq3	Ssiderea232754
Ssiderea232754_c0_seq4	Ssiderea232754
Ssiderea232754_c0_seq5	Ssiderea232754
Ssiderea232754_c0_seq7	Ssiderea232754
Ssiderea232754_c0_seq9	Ssiderea232754
Ssiderea232754_c0_seq11	Ssiderea232754
Ssiderea232756_c0_seq1	Ssiderea232756
Ssiderea232758_c0_seq1	Ssiderea232758
Ssiderea232759_c0_seq1	Ssiderea232759
Ssiderea232759_c0_seq2	Ssiderea232759
Ssiderea232765_c0_seq1	Ssiderea232765
Ssiderea232765_c0_seq2	Ssiderea232765
Ssiderea232765_c0_seq3	Ssiderea232765
Ssiderea232765_c0_seq4	Ssiderea232765
Ssiderea232765_c0_seq5	Ssiderea232765
Ssiderea232765_c0_seq6	Ssiderea232765
Ssiderea232765_c0_seq7	Ssiderea232765
Ssiderea232765_c0_seq8	Ssiderea232765
Ssiderea232776_c0_seq1	Ssiderea232776
Ssiderea232785_c0_seq1	Ssiderea232785
Ssiderea232789_c0_seq2	Ssiderea232789
Ssiderea232789_c0_seq3	Ssiderea232789
Ssiderea232789_c0_seq4	Ssiderea232789
Ssiderea232796_c0_seq1	Ssiderea232796
Ssiderea232797_c0_seq1	Ssiderea232797
Ssiderea232798_c0_seq1	Ssiderea232798
Ssiderea232798_c0_seq2	Ssiderea232798
Ssiderea232798_c0_seq3	Ssiderea232798
Ssiderea232803_c0_seq1	Ssiderea232803
Ssiderea232809_c0_seq3	Ssiderea232809
Ssiderea232809_c0_seq6	Ssiderea232809
Ssiderea232809_c0_seq11	Ssiderea232809
Ssiderea232809_c0_seq14	Ssiderea232809
Ssiderea232809_c0_seq18	Ssiderea232809
Ssiderea232809_c0_seq22	Ssiderea232809
Ssiderea232809_c0_seq28	Ssiderea232809
Ssiderea232811_c0_seq1	Ssiderea232811
Ssiderea232811_c0_seq2	Ssiderea232811
Ssiderea232827_c0_seq1	Ssiderea232827
Ssiderea232833_c0_seq1	Ssiderea232833
Ssiderea232836_c0_seq1	Ssiderea232836
Ssiderea232836_c0_seq2	Ssiderea232836
Ssiderea232836_c0_seq3	Ssiderea232836
Ssiderea232836_c0_seq4	Ssiderea232836
Ssiderea232837_c0_seq1	Ssiderea232837
Ssiderea232838_c0_seq1	Ssiderea232838
Ssiderea232838_c0_seq2	Ssiderea232838
Ssiderea232845_c0_seq1	Ssiderea232845
Ssiderea232861_c0_seq1	Ssiderea232861
Ssiderea232879_c0_seq1	Ssiderea232879
Ssiderea232880_c0_seq1	Ssiderea232880
Ssiderea232883_c0_seq1	Ssiderea232883
Ssiderea232885_c0_seq1	Ssiderea232885
Ssiderea232896_c0_seq1	Ssiderea232896
Ssiderea232896_c0_seq2	Ssiderea232896
Ssiderea232900_c0_seq1	Ssiderea232900
Ssiderea232903_c0_seq2	Ssiderea232903
Ssiderea232903_c0_seq3	Ssiderea232903
Ssiderea232903_c0_seq4	Ssiderea232903
Ssiderea232903_c0_seq5	Ssiderea232903
Ssiderea232903_c0_seq6	Ssiderea232903
Ssiderea232903_c0_seq7	Ssiderea232903
Ssiderea232903_c0_seq9	Ssiderea232903
Ssiderea232913_c0_seq3	Ssiderea232913
Ssiderea232914_c0_seq1	Ssiderea232914
Ssiderea232918_c0_seq1	Ssiderea232918
Ssiderea232925_c1_seq2	Ssiderea232925
Ssiderea232925_c1_seq3	Ssiderea232925
Ssiderea232925_c1_seq6	Ssiderea232925
Ssiderea232925_c1_seq8	Ssiderea232925
Ssiderea232925_c1_seq9	Ssiderea232925
Ssiderea232925_c1_seq10	Ssiderea232925
Ssiderea232925_c1_seq11	Ssiderea232925
Ssiderea232925_c1_seq12	Ssiderea232925
Ssiderea232925_c1_seq13	Ssiderea232925
Ssiderea232925_c1_seq14	Ssiderea232925
Ssiderea232925_c1_seq16	Ssiderea232925
Ssiderea232925_c1_seq17	Ssiderea232925
Ssiderea232925_c1_seq21	Ssiderea232925
Ssiderea232925_c1_seq22	Ssiderea232925
Ssiderea232925_c1_seq23	Ssiderea232925
Ssiderea232925_c1_seq24	Ssiderea232925
Ssiderea232925_c1_seq25	Ssiderea232925
Ssiderea232925_c1_seq26	Ssiderea232925
Ssiderea232925_c1_seq27	Ssiderea232925
Ssiderea232925_c1_seq31	Ssiderea232925
Ssiderea232925_c1_seq32	Ssiderea232925
Ssiderea232925_c1_seq33	Ssiderea232925
Ssiderea232925_c1_seq34	Ssiderea232925
Ssiderea232925_c1_seq35	Ssiderea232925
Ssiderea232925_c1_seq36	Ssiderea232925
Ssiderea232925_c1_seq42	Ssiderea232925
Ssiderea232925_c1_seq44	Ssiderea232925
Ssiderea232925_c1_seq47	Ssiderea232925
Ssiderea232925_c1_seq48	Ssiderea232925
Ssiderea232925_c1_seq50	Ssiderea232925
Ssiderea232925_c1_seq54	Ssiderea232925
Ssiderea232925_c1_seq55	Ssiderea232925
Ssiderea232925_c1_seq56	Ssiderea232925
Ssiderea232925_c1_seq57	Ssiderea232925
Ssiderea232925_c1_seq58	Ssiderea232925
Ssiderea232925_c1_seq59	Ssiderea232925
Ssiderea232925_c1_seq60	Ssiderea232925
Ssiderea232925_c1_seq66	Ssiderea232925
Ssiderea232925_c1_seq67	Ssiderea232925
Ssiderea232925_c1_seq68	Ssiderea232925
Ssiderea232925_c1_seq70	Ssiderea232925
Ssiderea232925_c1_seq71	Ssiderea232925
Ssiderea232925_c1_seq77	Ssiderea232925
Ssiderea232925_c1_seq82	Ssiderea232925
Ssiderea232925_c1_seq83	Ssiderea232925
Ssiderea232925_c1_seq86	Ssiderea232925
Ssiderea232925_c1_seq87	Ssiderea232925
Ssiderea232925_c1_seq88	Ssiderea232925
Ssiderea232925_c1_seq89	Ssiderea232925
Ssiderea232925_c1_seq90	Ssiderea232925
Ssiderea232925_c1_seq92	Ssiderea232925
Ssiderea232925_c1_seq95	Ssiderea232925
